,origin,dest
0,G26,G24
1,G26,G28
2,G24,G26
3,G24,G22
4,G22,G24
5,G22,F09
6,G22,F09
7,G22,719
8,G20,G19
9,G20,G21
10,G21,G14
11,G21,F09
12,G21,G20
13,G21,R11
14,G28,G26
15,G28,G29
16,G29,G30
17,G29,L10
18,G29,G28
19,719,G22
20,719,F09
21,719,F09
22,719,720
23,719,718
24,718,716
25,718,719
26,716,715
27,716,718
28,715,716
29,715,714
30,714,715
31,714,713
32,713,714
33,713,712
34,712,713
35,712,711
36,711,712
37,711,710
38,710,G14
39,710,G14
40,710,G14
41,710,G14
42,710,709
43,710,711
44,B23,D43
45,B23,B22
46,B22,B23
47,B22,B21
48,B21,B22
49,B21,B20
50,B20,B21
51,B20,B19
52,J27,A51
53,J27,A51
54,J27,A51
55,J27,A51
56,J27,J24
57,J27,L22
58,J27,L22
59,J27,J28
60,J24,J27
61,J24,J23
62,J23,J24
63,J23,J22
64,J22,J23
65,J22,J21
66,J21,J22
67,J21,J20
68,J20,J21
69,J20,J19
70,J29,J30
71,J29,J28
72,J28,J27
73,J28,J29
74,F05,F04
75,F05,F06
76,F04,F05
77,F04,F03
78,F07,F06
79,F07,G08
80,F06,F05
81,F06,F07
82,F06,G07
83,F06,G08
84,F01,F02
85,A54,A53
86,A54,A55
87,F03,F04
88,F03,F02
89,F02,F01
90,F02,F03
91,A59,A60
92,A59,A57
93,F09,G22
94,F09,G22
95,F09,F11
96,F09,719
97,F09,719
98,F09,G21
99,N09,N10
100,N09,N08
101,N08,N07
102,N08,N09
103,N05,N04
104,N05,N06
105,N04,N05
106,N04,B16
107,N04,N03
108,N07,N06
109,N07,N08
110,N06,N05
111,N06,N07
112,N03,N04
113,N03,N02
114,N02,R41
115,N02,N03
116,H10,H11
117,H10,H09
118,H11,H10
119,H12,H13
120,H12,H04
121,H13,H12
122,H13,H14
123,H14,H13
124,H14,H15
125,H15,H14
126,M22,A38
127,M22,A38
128,M22,A38
129,M22,A38
130,M22,M21
131,M22,M23
132,M22,229
133,M22,229
134,M22,229
135,M22,229
136,M22,418
137,M22,418
138,M22,418
139,M22,418
140,M23,M22
141,108,109
142,108,107
143,109,108
144,109,110
145,103,101
146,103,104
147,101,103
148,106,107
149,106,104
150,107,108
151,107,106
152,104,103
153,104,106
154,902,R16
155,902,R16
156,902,R16
157,902,R16
158,902,725
159,902,901
160,902,A27
161,902,A27
162,902,A27
163,902,127
164,902,127
165,902,127
166,A46,A47
167,A46,A45
168,A46,A42
169,A46,A48
170,901,902
171,901,631
172,901,631
173,901,631
174,901,723
175,A47,A46
176,A47,A48
177,247,246
178,247,246
179,640,639
180,640,M21
181,640,M21
182,640,M21
183,640,M21
184,640,M21
185,640,M21
186,640,418
187,640,418
188,640,635
189,640,635
190,A45,A46
191,A45,S01
192,A45,A44
193,A42,G36
194,A42,A46
195,A42,F20
196,A42,A43
197,A42,A41
198,A42,A41
199,A40,A38
200,A40,A38
201,A40,A41
202,A40,A41
203,A41,A40
204,A41,A40
205,A41,F18
206,A41,F20
207,A41,A42
208,A41,A42
209,A41,R29
210,A41,R29
211,A41,R29
212,R39,R36
213,R39,R40
214,249,250
215,249,248
216,A48,A46
217,A48,A51
218,A48,A49
219,A48,A47
220,F15,M18
221,F15,M18
222,F15,M18
223,F15,F16
224,F15,F14
225,G19,G20
226,G19,G18
227,G18,G16
228,G18,G19
229,G16,G15
230,G16,G18
231,G15,G16
232,G15,G14
233,G14,G21
234,G14,710
235,G14,710
236,G14,710
237,G14,710
238,G14,G08
239,G14,G08
240,G14,B04
241,G14,G15
242,G14,G13
243,G13,G14
244,G13,G12
245,G12,G13
246,G12,G11
247,G11,G12
248,G11,G10
249,G10,G09
250,G10,G11
251,Q03,B08
252,Q03,Q04
253,Q01,639
254,Q01,639
255,Q01,M20
256,Q01,M20
257,Q01,M20
258,Q01,M20
259,Q01,R23
260,Q01,R23
261,Q01,R23
262,Q01,R23
263,Q01,R30
264,Q01,R31
265,Q01,R20
266,Q01,R20
267,Q04,Q03
268,Q04,Q05
269,Q05,Q04
270,D38,D37
271,D38,D39
272,D39,D35
273,D39,D38
274,D39,D40
275,D39,D40
276,D37,D35
277,D37,D38
278,D34,D35
279,D34,D33
280,D35,D37
281,D35,D34
282,D35,D39
283,D35,D31
284,D32,D33
285,D32,D31
286,D33,D34
287,D33,D32
288,D30,D29
289,D30,D31
290,D31,D28
291,D31,D35
292,D31,D32
293,D31,D30
294,238,237
295,238,237
296,238,239
297,238,239
298,239,S04
299,239,S04
300,239,S04
301,239,S04
302,239,241
303,239,241
304,239,235
305,239,235
306,239,238
307,239,238
308,239,250
309,239,248
310,234,235
311,234,235
312,234,235
313,234,235
314,234,423
315,234,423
316,234,233
317,234,233
318,235,D24
319,235,D24
320,235,D24
321,235,D24
322,235,239
323,235,239
324,235,234
325,235,234
326,235,234
327,235,234
328,235,236
329,235,236
330,235,R31
331,235,R31
332,235,R31
333,235,R31
334,235,R31
335,235,R31
336,236,235
337,236,235
338,236,237
339,236,237
340,237,236
341,237,236
342,237,238
343,237,238
344,230,231
345,230,231
346,230,229
347,230,229
348,231,230
349,231,230
350,231,232
351,231,232
352,232,423
353,232,423
354,232,423
355,232,423
356,232,R28
357,232,R28
358,232,231
359,232,231
360,232,233
361,232,233
362,233,234
363,233,234
364,233,232
365,233,232
366,S31,S30
367,S30,S29
368,S30,S31
369,618,619
370,618,617
371,619,618
372,619,621
373,140,R27
374,140,R27
375,612,613
376,612,611
377,613,612
378,613,614
379,610,611
380,610,609
381,611,612
382,611,610
383,616,617
384,616,615
385,617,618
386,617,616
387,614,613
388,614,615
389,615,616
390,615,614
391,D43,D42
392,D43,D42
393,D43,N10
394,D43,B23
395,D42,D43
396,D42,D43
397,D42,F39
398,D42,D41
399,D41,D42
400,D41,D40
401,D40,D41
402,D40,D39
403,D40,D39
404,A09,A10
405,A09,112
406,A09,112
407,A09,A07
408,A09,A12
409,A02,A03
410,A03,A02
411,A03,A05
412,A06,A07
413,A06,A05
414,A07,A09
415,A07,A06
416,A05,A03
417,A05,A06
418,133,132
419,133,134
420,132,D19
421,132,D19
422,132,D19
423,132,D19
424,132,D19
425,132,D19
426,132,L02
427,132,L02
428,132,L02
429,132,133
430,132,131
431,132,137
432,132,137
433,132,128
434,132,128
435,131,132
436,131,130
437,130,129
438,130,131
439,137,132
440,137,132
441,137,138
442,137,136
443,137,228
444,137,228
445,136,137
446,136,135
447,135,136
448,135,134
449,134,133
450,134,135
451,139,138
452,138,139
453,138,137
454,407,406
455,407,408
456,406,407
457,406,405
458,405,406
459,405,402
460,402,405
461,402,401
462,401,402
463,R34,R35
464,R34,R33
465,R35,R34
466,R35,R36
467,R36,R41
468,R36,R39
469,R36,R35
470,R36,B12
471,R36,R31
472,R36,R31
473,R30,D22
474,R30,D24
475,R30,D24
476,R30,R29
477,R30,Q01
478,R30,R31
479,R31,D22
480,R31,D24
481,R31,D24
482,R31,D24
483,R31,D24
484,R31,D24
485,R31,D24
486,R31,235
487,R31,235
488,R31,235
489,R31,235
490,R31,235
491,R31,235
492,R31,R36
493,R31,R36
494,R31,Q01
495,R31,R30
