,closeness_centrality
125,0.014168372654132127
A24,0.01452801145695505
127,0.016677817415823425
A27,0.016801775215892312
725,0.0165890532559606
R16,0.016847650181734328
132,0.01530228060501507
D19,0.015516609445447829
L02,0.01529164450141149
140,0.013194109870603137
R27,0.013460578772780746
232,0.013976541252902454
423,0.013922981524155028
R28,0.014008415848771058
235,0.014567931365606036
D24,0.014757758686707102
R31,0.014723762856001516
239,0.013170308780731603
S04,0.013148538437085038
247,0.01152527669127505
X5,0.011504221425531095
414,0.011724274005429653
D11,0.011796650940488589
415,0.011743082177801997
222,0.011742100176415781
418,0.015465447890741174
229,0.015486248988952732
629,0.015263167111479823
B08,0.015359406637314211
R11,0.015143632181709625
631,0.014362882803066752
723,0.014151517848208554
635,0.01566940462615218
R20,0.015700230166848322
637,0.015105523418178498
D21,0.015438024739117871
639,0.014818374159869047
R23,0.014834958606748648
640,0.01387818352986455
M21,0.013692226764666703
710,0.012753178868690648
G14,0.013035826839996954
719,0.013191009618864484
F09,0.013317088050600109
901,0.014079118619152852
902,0.016552391622977964
A09,0.011073888395633813
112,0.010878130144514195
A32,0.01563048722679533
D20,0.015913122489523958
A36,0.014534023253283365
E01,0.01437246635390692
228,0.014481891084487485
A38,0.015547230930269593
A41,0.014532300131939391
R29,0.014241944980556328
A45,0.012186513281699363
S01,0.011870899375324387
A51,0.012371587918821357
L22,0.0124051813478008
D13,0.012091243625147336
A12,0.012037009636484774
D16,0.015143748176921828
724,0.014788716358425262
D17,0.015924782771619798
R17,0.015713702030249858
D26,0.013295473987706448
F11,0.01390769673823368
630,0.013762879803104849
F15,0.01421028323675033
M18,0.014222530889512395
F23,0.013036387321922114
R33,0.012853414907941174
G22,0.013057196002035478
G29,0.012162436103437894
L10,0.012400643420552115
J27,0.012337268679668225
L01,0.014158194575267485
A31,0.014376103608061725
L03,0.015522684341525634
L17,0.011906397648499857
M08,0.011752812745564313
L26,0.012288495047284334
254,0.01204931806572931
M20,0.014779552155914297
M22,0.015378406659777688
N04,0.011113552789441598
B16,0.011057632371389696
Q01,0.014905712574417414
X1,0.011344375613657835
R41,0.011588973774452024
X16,0.012782463734342964
101,0.008666851772812331
103,0.008762165542824822
104,0.008892405677636587
106,0.009009316699496476
107,0.009146982294831038
108,0.009265459247754869
109,0.009409252685164876
110,0.009546383849237675
111,0.009698343582812912
113,0.010103655469693898
114,0.010312005738056467
115,0.01044270079730616
116,0.010633540176214606
117,0.010876998133715229
118,0.010997425054041443
119,0.011131410612440816
120,0.01244368447220433
121,0.011459677676118444
122,0.011595464902519765
123,0.012899506870369257
124,0.011862220231405523
126,0.012108322935241006
128,0.013460773301513084
129,0.012145825292108673
130,0.01211456896288332
131,0.012087106865720953
133,0.01193548051722469
134,0.011797900663589515
135,0.011680455487376756
136,0.011609281537291025
137,0.013426255387573265
138,0.011408741745279049
139,0.011279950749393834
201,0.008006962560526245
204,0.008600936139429716
205,0.00871369016429959
206,0.008827142573304152
207,0.008919376555264327
208,0.009059023604192072
209,0.009199946968962733
210,0.009330308648586614
211,0.00951858571523614
212,0.00971637438896393
213,0.009909712230374314
214,0.010039020165733601
215,0.010205199468277984
216,0.010412558963251798
217,0.010573732608520684
218,0.010666131438769723
219,0.01079478699251354
220,0.01095205380154494
221,0.011173513011646641
224,0.011047180767655368
225,0.01120454713040813
226,0.011351064372973172
227,0.011430960803715222
230,0.012902508586839657
231,0.012606779994246364
233,0.01243473230524964
234,0.013155603570205395
236,0.012208627351813077
237,0.012024118344862696
238,0.011860382544916191
241,0.011758841415594402
242,0.011589846088463883
243,0.01139500797107633
244,0.011219408303641844
245,0.011051954583963639
246,0.010907917947170817
248,0.011344205994149491
249,0.01116082897777367
250,0.011378276754727953
251,0.010780336675657158
252,0.010682032275529229
253,0.010595614853136202
255,0.01035258985483194
256,0.01023077017178192
257,0.01011538437729953
301,0.010093620529279273
302,0.010189938784624809
401,0.009042123551890121
402,0.009204880059742114
405,0.009369345290142057
406,0.009545313960066349
407,0.009678854157565583
408,0.009795061971062214
409,0.009934293320784991
410,0.01008054274202881
411,0.010197893074867128
412,0.010326936942038107
413,0.010468194744447462
416,0.011255279081179008
419,0.012401021861351776
420,0.01232512436242875
501,0.008210544879428941
502,0.008414805018912107
503,0.008620902161404907
504,0.008870681908891146
505,0.008995866601675341
601,0.008229539867662639
602,0.008350195566762697
603,0.008426892490776905
604,0.008549351178659351
606,0.008639240739963125
607,0.008716323060434069
608,0.008865705546625323
609,0.008979204829409662
610,0.009098739393793265
611,0.009178056787330956
612,0.009306384689239064
613,0.009453182399412702
614,0.009607595302352712
615,0.009778011695376319
616,0.009885619474275239
617,0.01003507350381133
618,0.010152367825218197
619,0.010311720712990044
621,0.012020270273559607
622,0.010737778204529166
623,0.01082665372609582
624,0.01093824452334624
625,0.011066526740013464
626,0.012626238165888194
627,0.011397226250008292
628,0.01155961962776182
632,0.012011148409592446
633,0.012038054051866854
634,0.012068826512557486
636,0.012159749038851394
638,0.012103400988840867
701,0.009736477107931433
702,0.010044086871410389
705,0.010243013327873831
706,0.010395855436994355
707,0.010534997372681936
708,0.010682921830319363
709,0.010834598333202675
711,0.011075129376113704
712,0.011175250898255312
713,0.01133153490530648
714,0.011433821328077886
715,0.011533439084894554
716,0.01166180206519225
718,0.011893307305394969
720,0.012160906848757544
721,0.012243154775270014
726,0.012373615854312752
A02,0.009727288524726065
A03,0.009866957083518167
A05,0.010061604656144864
A06,0.010252187105034649
A07,0.010364105118381475
A10,0.010578085773834827
A11,0.010719608554210858
A14,0.011944029328440546
A15,0.01261667372469986
A16,0.012276013802958268
A17,0.01241145184568739
A18,0.01255024827984648
A19,0.012689489329456231
A20,0.012875030217535346
A21,0.013020919460649124
A22,0.013225571781041272
A25,0.01348335015420431
A28,0.013924383182580904
A30,0.013556039593019186
A33,0.013466162663761732
A34,0.013763106314673278
A40,0.01286037121095883
A42,0.012919105644242928
A43,0.012132994410106585
A44,0.011973450156796328
A46,0.01198868778991437
A47,0.011530696971471298
A48,0.011643796661899105
A49,0.011209018690845724
A50,0.011081901059153274
A52,0.010798741281903905
A53,0.010669445955797188
A54,0.01048385467641354
A55,0.010599810000594049
A57,0.010269857819430505
A59,0.010151184334464996
A60,0.010021959095527992
A61,0.009893796663308734
A63,0.009783185711858659
A64,0.009672868145483876
A65,0.00956130350184281
B04,0.012405272850630795
B06,0.012695800286646741
B10,0.013224683262400384
B12,0.010604192130371564
B13,0.010485799841298054
B14,0.010386602840701399
B15,0.010286391547087917
B17,0.01002097530903722
B18,0.009881732658261953
B19,0.009760614797844446
B20,0.00966926299839528
B21,0.009580983911654548
B22,0.009448767547352094
B23,0.009276270011834203
D01,0.008951963808100176
D03,0.009568957987240997
D04,0.009737338032430841
D05,0.009880032151031172
D06,0.010006849885465777
D07,0.010158216277754628
D08,0.010295009545677617
D09,0.010463753107866784
D10,0.0106292980824137
D12,0.011014372026572145
D14,0.013799649402078213
D15,0.014772428112427053
D18,0.013932842090639393
D22,0.012770919719433851
D25,0.012658506520815386
D27,0.0120360874793923
D28,0.011909237493861888
D29,0.011737846813130903
D30,0.011658567279301528
D31,0.011518217952562708
D32,0.011977679282992149
D33,0.011267019180962123
D34,0.011079820127752311
D35,0.010864248949453759
D37,0.010648242740808231
D38,0.01055771178465768
D39,0.010383593306953183
D40,0.010170554114705452
D41,0.009634162294082264
D42,0.010193393996764586
D43,0.010382816183769123
F01,0.009125467107804453
F02,0.009286369526097061
F03,0.009456678720741145
F04,0.009589004133142991
F05,0.010297473483041573
F06,0.010542783744733934
F07,0.01066557564261242
F12,0.013193821370814035
F14,0.013360761387598976
F16,0.01313287728113184
F18,0.012849426505644022
F20,0.01274109992681462
F21,0.01254166913112319
F22,0.012348822883923872
F24,0.011965486769813396
F25,0.011810674437944495
F26,0.011566932737474066
F27,0.011206331983346186
F29,0.011039552279664744
F30,0.010911100408602133
F31,0.01158030181622566
F32,0.010714115891132216
F33,0.010580381898799568
F34,0.010437488905625968
F35,0.010310255641356016
F36,0.010156395701068605
F38,0.01002299774034083
F39,0.00985280431796513
G05,0.010315933325203879
G06,0.010457515885977799
G07,0.00975936844377373
G08,0.011138423122299615
G09,0.010514823841651158
G10,0.010722966809743462
G11,0.010914175347458206
G12,0.011130321272427307
G13,0.011334807179539799
G15,0.011600303498845733
G16,0.011785975394422665
G18,0.011984538317342515
G19,0.012166210014383267
G20,0.012429749047427822
G21,0.01309933051711859
G24,0.010044069703379437
G26,0.010039043841600852
G28,0.010057919134864724
G30,0.010120343909042016
G31,0.01010312694396495
G32,0.010090928066677928
G33,0.01009696912415778
G34,0.010133754518493958
G35,0.010201991876225782
G36,0.01030228989758091
H01,0.00958920937400082
H02,0.00958920937400082
H03,0.009420396625025682
H04,0.0084694388058594
H06,0.008097408553212905
H07,0.007998197775960397
H08,0.007857717264044422
H09,0.007765212747148349
H10,0.007667272800865579
H11,0.007584896728656095
H12,0.008142490821078242
H13,0.008051687233347728
H14,0.007965449704648176
H15,0.007868804970311347
J12,0.009502596439727075
J13,0.009375574780758705
J14,0.009694422971842996
J15,0.00979618240214207
J16,0.009695454895100994
J17,0.010027106044835261
J19,0.009857317811990278
J20,0.010218916062440703
J21,0.010324586226253726
J22,0.010194818159792821
J23,0.010530174307044254
J24,0.010433040536727894
J28,0.010828547737323186
J29,0.010711567376306156
J30,0.01099857848823221
J31,0.010909301003117532
L05,0.012576514255420352
L06,0.01248122180239316
L08,0.012024339749211767
L11,0.011840095929302201
L12,0.011772301750645966
L13,0.011698779941191326
L14,0.011609853600383115
L15,0.01148680366031688
L16,0.011421137324815043
L19,0.011246089274798862
L20,0.012195641446037629
L21,0.01110792134639434
L24,0.01206125294200549
L25,0.010881233402824637
L27,0.0106275117976297
L28,0.010399450607539256
L29,0.010282500452981316
M01,0.011277894451591684
M04,0.010472929703961546
M05,0.010601088052109122
M06,0.010694445138171735
M09,0.010931761192741047
M10,0.011089900095892046
M11,0.012414686928266487
M12,0.012389656337773499
M13,0.012549560694224941
M14,0.012699196858368752
M16,0.012955482442184816
M19,0.012177628090892092
M23,0.011951076410039146
N02,0.01045479107351644
N03,0.010323403531024074
N05,0.009986621407645665
N06,0.009868919145963048
N07,0.009736532098522755
N08,0.009571612623392352
N09,0.00944314837459332
N10,0.00935210240100668
Q03,0.012562917612769224
Q04,0.012176124905990455
Q05,0.01191673519064963
R01,0.010805019174468097
R03,0.011007603062878358
R04,0.011149660906229951
R05,0.01134068268676393
R06,0.011539540574370538
R08,0.011699132247055334
R09,0.011916652499013601
R13,0.013430883840848633
R14,0.013897415786284626
R15,0.013717227069113207
R18,0.013554755552502618
R19,0.013508163624769599
R21,0.013458500661242476
R22,0.013395458573149758
R24,0.013246477431166718
R25,0.013200134907676058
R26,0.01315797856277732
R30,0.013936226969429378
R32,0.012272273054901035
R34,0.0118179131420368
R35,0.011604449086551956
R36,0.012249789717494554
R39,0.011137019103033594
R40,0.010984410101457958
R42,0.010599641491371655
R43,0.010429459606639848
R44,0.010207454642923755
R45,0.010023511304518782
S03,0.00984386705958887
X12,0.010109780255178129
X14,0.010089321910685085
X15,0.010107720682185326
X6,0.010142122297121647
X7,0.010095433262090354
X8,0.0101210647074587
