,closeness_centrality
125,0.023370049140506065
A24,0.02433320361164694
127,0.02623168827561106
A27,0.026540281621475016
725,0.026012766173100825
R16,0.02665497253962889
132,0.02524168984932102
D19,0.02583124968005978
L02,0.025212762338769394
140,0.021605967968834773
R27,0.022334334743394486
232,0.022418368804492897
423,0.02229746285075277
R28,0.02255628451912886
235,0.022937007982065934
D24,0.023425300958829325
R31,0.023321051225059813
239,0.020835384499452003
S04,0.020896115681815552
247,0.018134833369624646
X5,0.018175058045247466
414,0.018247236033976398
D11,0.01844919639689246
415,0.01831775352807513
222,0.01824823027005251
418,0.024913335169402098
229,0.024959035373858306
629,0.024502199713562847
B08,0.024744206461869443
R11,0.02421568968995476
631,0.024318738908447372
723,0.02371643570549837
635,0.025796336774358938
R20,0.025875841628902958
637,0.02528613239770423
D21,0.02619990865454367
639,0.02450352743874719
R23,0.02449648304627761
640,0.0235794050023273
M21,0.023086554622221766
710,0.020177280618442223
G14,0.020821470810320868
719,0.02160864579936816
F09,0.02194595261495122
901,0.023504870772822224
902,0.02592273419444172
A09,0.017167335632847423
112,0.016657290730683973
A32,0.025582444675305394
D20,0.026351098798055483
A36,0.023983684145292186
E01,0.023499845585563034
228,0.02383865207844749
A38,0.025140101802041372
A41,0.02401913914550745
R29,0.023223778256364448
A45,0.020576328075159456
S01,0.019722223988203454
A51,0.01992887925955103
L22,0.020134172158541356
D13,0.019051776369576733
A12,0.018827127490927315
D16,0.02569409275309759
724,0.024690414569900374
D17,0.026286098597535643
R17,0.025712846053311943
D26,0.021143699162448598
F11,0.023621133028086643
630,0.023270201057464537
F15,0.02405650843144482
M18,0.024091629847747178
F23,0.021066243879421204
R33,0.020574122599571087
G22,0.021294746823914513
G29,0.020536677391845542
L10,0.02110756381896813
J27,0.0197986696683963
L01,0.02375185170977719
A31,0.024387246498871643
L03,0.025397048546130944
L17,0.0197128799414441
M08,0.01919939414687531
L26,0.019503448772338474
254,0.018912892024702782
M20,0.02442122086183968
M22,0.024702397885652483
N04,0.017426670643860734
B16,0.017297305237340653
Q01,0.024723517067675005
X1,0.017270915057361502
R41,0.017761368972573247
X16,0.020364292018315012
101,0.012772031701347952
101-1-S,0.013607774542859068
103,0.012980107271970798
103-1-S,0.013844224367156365
104,0.013267977752029312
104-1-S,0.014172183924182416
106,0.013529943833455486
106-1-S,0.014471476256171715
107,0.013842822807316375
107-1-S,0.014829994302675094
108,0.014115987787062875
108-1-S,0.015143951284634301
109,0.014452476522748467
109-1-S,0.015531908025410374
110,0.014778550584361717
110-1-S,0.0159091453565895
111,0.015145934363854297
111-1-S,0.01633570288328954
112-1-S,0.017048454673157222
113,0.01610491564252798
113-1-S,0.017456842338189914
114,0.016594386532824825
114-1-S,0.018033411734812814
115,0.01691014778055744
115-1-S,0.01840692867925336
116,0.017379909066584636
116-1-S,0.01896490423190062
117,0.018001280189474413
117-1-S,0.01970719940287957
118,0.018330556814597183
118-1-S,0.020102528125577376
119,0.018705849296940972
119-1-S,0.02055478012362405
120,0.02016245691837434
120-1-S,0.021197999153706473
120-2-S,0.021134348078488182
120-3-S,0.020697986910502106
121,0.019615219705917064
121-1-S,0.021658107469056078
122,0.019984197332832496
122-1-S,0.022108828061993553
123,0.021397817352649465
123-1-S,0.022623990190618396
123-2-S,0.02250177569950392
123-3-S,0.022132554479829262
124,0.020775535420206378
124-1-S,0.023081468365555156
125-1-S,0.023619868987255495
126,0.021510969401290825
126-1-S,0.023992798684220863
127-1-S,0.024525943965783188
127-2-S,0.02486353027279172
127-3-S,0.02453281743017913
128,0.022932612344452392
128-1-S,0.024268134549966847
128-2-S,0.024748975216133978
128-3-S,0.024430180785168183
129,0.021641361180749535
129-1-S,0.02415512736976168
130,0.021580618594627787
130-1-S,0.024079478560730963
131,0.021530982804697205
131-1-S,0.02401769878791718
132-1-S,0.02397898994523656
132-2-S,0.025027024698826995
132-3-S,0.02470491296512303
133,0.021168016857020935
133-1-S,0.023566927485190976
134,0.0208970439331485
134-1-S,0.023231543643587215
135,0.020719243143952747
135-1-S,0.023012006825039587
136,0.020623958792227563
136-1-S,0.022894527428081887
137,0.022780136063188846
137-1-S,0.022795726344979117
137-2-S,0.024423543142725327
137-3-S,0.024400104914890114
138,0.020156361343871637
138-1-S,0.02231973737748671
139,0.01983607603674841
139-1-S,0.021927678816825717
140-1-S,0.021542880767485877
201,0.011051386337352845
201-2-S,0.01166419884280911
204,0.011878622656666133
204-2-S,0.011875862507405504
204-5-S,0.012391485277383554
205,0.012093813437249426
205-2-S,0.012098214043864701
205-5-S,0.012623483881378064
206,0.012312489422468695
206-2-S,0.012324464153999876
206-5-S,0.01285953731811738
207,0.012491880485705115
207-2-S,0.012510295464530613
207-5-S,0.013053409680798848
208,0.01276628370759692
208-2-S,0.012794941242656937
208-5-S,0.013350354575782767
209,0.013046666598144413
209-2-S,0.013086262615958319
209-5-S,0.013654243613009364
210,0.01330934061607129
210-2-S,0.01335948488592225
210-5-S,0.013939233704812017
211,0.013694441989638744
211-2-S,0.013760556993754416
211-5-S,0.014357546628333469
212,0.014106175295272659
212-2-S,0.01419036083419445
212-5-S,0.014805768470031361
213,0.014515941523913896
213-2-S,0.014619106769916016
213-5-S,0.01525284150944059
214,0.014794108784862524
214-2-S,0.01491090173836879
214-5-S,0.015556869569006477
215,0.015156554200209121
215-2-S,0.01529184367145289
215-5-S,0.015953723346961306
216,0.015616829231121641
216-2-S,0.015776774125508312
216-5-S,0.016458830769044933
217,0.0159808922556908
217-2-S,0.016161275453092018
217-5-S,0.016859268316328745
218,0.016192145259215817
218-2-S,0.01638478135679598
218-5-S,0.017092008981836534
219,0.01648943197098263
219-2-S,0.01669980286155663
219-5-S,0.017419991183284775
220,0.01685788795298541
220-2-S,0.017091039585848695
220-5-S,0.017827257264633075
221,0.017386424802499675
221-2-S,0.0176537397934045
221-5-S,0.018412898434661245
222-2-S,0.018220215156091124
222-5-S,0.019002298015364856
224,0.0174013443147747
224-2-S,0.018761429238076853
224-3-S,0.018266003478145512
225,0.01777007256445028
225-2-S,0.01919931865838158
225-3-S,0.018730514328512034
226,0.01813564250145986
226-2-S,0.019635155155491003
226-3-S,0.019160235769089606
227,0.01833942171576848
227-2-S,0.019879550366176363
227-3-S,0.019398223374220862
228-2-S,0.02448622353071403
228-3-S,0.024488728017215054
229-2-S,0.024511372709461424
229-3-S,0.02455506757504608
230,0.02201060308248704
230-2-S,0.02419979118082069
230-3-S,0.02426021252465883
231,0.021128910310067382
231-2-S,0.023077196467719302
231-3-S,0.023194181443938335
232-2-S,0.022831309846771286
232-3-S,0.022959123522057544
233,0.020717736424407572
233-2-S,0.0225634735190826
233-3-S,0.022700153396994743
234,0.021437126181120893
234-2-S,0.02251281106008846
234-3-S,0.02266268539340597
234-4-S,0.02170495068717861
234-5-S,0.021710374804281306
235-2-S,0.02235190178542207
235-3-S,0.02251347401685021
236,0.020203788173636408
236-2-S,0.021902278829248483
236-3-S,0.02209229552757341
237,0.019824407863315352
237-2-S,0.02131933116685325
237-3-S,0.021625023745296647
238,0.019549490515874766
238-2-S,0.020819075265367686
238-3-S,0.02127975090835226
239-2-S,0.020640897152012144
239-3-S,0.021175185153860066
239-4-S,0.020120295948478077
239-5-S,0.020191671233884545
241,0.018714383137863642
241-2-S,0.020007146146095785
241-5-S,0.019596330886567672
242,0.018310766690827724
242-2-S,0.019546592882952407
242-5-S,0.019206021652936014
243,0.017892692580948347
243-2-S,0.019072627505907776
243-5-S,0.01879459392866019
244,0.01758054783425073
244-2-S,0.018709340708158113
244-5-S,0.01848109624081747
245,0.01734730278493807
245-2-S,0.01844637306731254
245-5-S,0.018254711919582483
246,0.0171696866490181
246-2-S,0.018249082083899696
246-5-S,0.018084598469223976
247-2-S,0.018009957601939266
247-5-S,0.017877909986447546
248,0.018901111159668294
248-3-S,0.020799368238295587
249,0.01857267828155116
249-3-S,0.02040234197746613
250,0.018658976191539067
250-3-S,0.020023286251746347
250-4-S,0.018788323524465814
251,0.017898975695179092
251-3-S,0.019592254465419862
252,0.01769690240915429
252-3-S,0.019350397226815332
253,0.017515813932837705
253-3-S,0.019134093725219715
254-3-S,0.018968278502830758
255,0.016913942863343974
255-3-S,0.0184181402095582
256,0.016591180945783865
256-3-S,0.018036062871287672
257,0.016289841636867478
257-3-S,0.0176805119309389
301,0.015997105425878577
301-3-S,0.01733620483668639
302,0.016240397590963074
302-3-S,0.01762229740741444
401,0.013344054178437592
401-4-S,0.014270132478311347
402,0.013701580698276782
402-4-S,0.014679768619399519
405,0.014069189995731594
405-4-S,0.015102551462817913
406,0.014469748509465216
406-4-S,0.015565080927611647
407,0.014778848819170664
407-4-S,0.015923329170976868
408,0.015051510999205406
408-4-S,0.016240310074557684
409,0.015382801047218939
409-4-S,0.01662667121397372
410,0.015736319301668827
410-4-S,0.017040442646450982
411,0.016024170925824806
411-4-S,0.017378494899910172
412,0.01634510714409829
412-4-S,0.01775661394086804
413,0.016701821624888768
413-4-S,0.018178393755855397
414-4-S,0.01887475957789024
415-4-S,0.01943987149535348
416,0.018288742778285676
416-4-S,0.01974322012520589
416-5-S,0.01939936090170307
418-4-S,0.02429421728751162
418-5-S,0.02422123708617891
419,0.021804866861629465
419-4-S,0.02399245264063203
419-5-S,0.023912311139898407
420,0.02157492014343009
420-4-S,0.02371360492350038
420-5-S,0.023627149778244063
423-4-S,0.022249013499640695
423-5-S,0.022150920145196453
501,0.011745538046166085
501-5-S,0.012444011928001817
502,0.012168072665975097
502-5-S,0.012919312570829953
503,0.012603783050046998
503-5-S,0.013411573559391855
504,0.013144918929852499
504-5-S,0.014025988539303478
505,0.013421687161360307
505-5-S,0.014341548791642383
601,0.01208925304659479
601-6-S,0.01283539923051992
602,0.012351428665837038
602-6-S,0.013131333189454525
603,0.012519980976174296
603-6-S,0.013322008374135224
604,0.012792212443412774
604-6-S,0.013630666784713448
606,0.012994517316144066
606-6-S,0.013860599809450652
607,0.013169696216112251
607-6-S,0.01406008860166163
608,0.013513732409585042
608-6-S,0.014452914664740003
609,0.013779218540711222
609-6-S,0.014757002438025541
610,0.014062728672697514
610-6-S,0.015082654375749112
611,0.014253106157618796
611-6-S,0.015301865303771403
612,0.014565001879339342
612-6-S,0.0156619315404665
613,0.01492780134176276
613-6-S,0.016082225004805235
614,0.015316530479725678
614-6-S,0.01653431504743092
615,0.0157542586390564
615-6-S,0.01704558085093857
616,0.016035493746175748
616-6-S,0.017375292760578594
617,0.016432473594603276
617-6-S,0.017842349857057533
618,0.016749350061820534
618-6-S,0.018216555519541065
619,0.017187551112214244
619-6-S,0.018736084178689636
621,0.01945899876257779
621-4-S,0.020373651542575897
621-5-S,0.02005670680022473
621-6-S,0.019818338423841574
622,0.018349025025938465
622-6-S,0.020124735817693584
623,0.01856610859536413
623-6-S,0.020386168404628487
624,0.018845667997342313
624-6-S,0.020723724312275836
625,0.01919457919075242
625-6-S,0.021146422446261904
626,0.02111791208067361
626-4-S,0.02217201775239691
626-5-S,0.021908469741793172
626-6-S,0.021828793947360613
627,0.020151110464654336
627-6-S,0.022313294518422296
628,0.020624736947524668
628-6-S,0.02289548212609704
629-4-S,0.023796379541167454
629-5-S,0.023652489209047278
629-6-S,0.023649310815630882
630-6-S,0.02403298055718029
631-4-S,0.024344399283598397
631-5-S,0.024215570107204917
631-6-S,0.024341235884893394
632,0.021829925759328014
632-6-S,0.024390277696160548
633,0.02189615606410051
633-6-S,0.024472984551844986
634,0.021987349391941337
634-6-S,0.024586961023750714
635-4-S,0.024782604306374134
635-5-S,0.02468006522903454
635-6-S,0.024972569692612172
636,0.022295598156719842
636-6-S,0.024973049885015416
637-6-S,0.025057234319586483
638,0.022117770026829697
638-6-S,0.024750159963262835
639-6-S,0.02452128286601696
640-4-S,0.0243240703661971
640-5-S,0.02423083778580243
640-6-S,0.02376484659280058
701,0.014939760269594236
701-7-S,0.016116703439718702
702,0.015676440286816088
702-7-S,0.016977375749484526
705,0.016166463701593255
705-7-S,0.01755360396904617
706,0.016550508082113675
706-7-S,0.018007309025736468
707,0.01690598816168979
707-7-S,0.018428923922900707
708,0.01729018673485686
708-7-S,0.01888640006534859
709,0.017691024005458595
709-7-S,0.019365693488198922
