,closeness_centrality
125,0.023545343923422415
A24,0.024510291179872593
127,0.026442915341658817
725,0.02620079764270804
R16,0.026860735345791874
A27,0.02674111799682478
132,0.02538237748030291
L02,0.02533426344932449
D19,0.025971041378167
140,0.02172851412987944
R27,0.02245264249576303
232,0.02243558193142175
R28,0.022595692293496495
423,0.02232525115151641
235,0.022913437289840986
R31,0.023322933854655958
D24,0.023417295403663774
239,0.020628897850647664
S04,0.02071899692973213
414,0.018390027303416594
D11,0.018588984391207094
415,0.01847634118292362
222,0.018403556756740377
418,0.025090088251018584
229,0.025125035828621505
629,0.024646005900608114
B08,0.02485480803062405
R11,0.024337050094762707
631,0.02448844372090075
723,0.02384972473589448
635,0.025936355748887894
R20,0.02599633035265859
637,0.02540988880411455
D21,0.026309276501758613
639,0.024632673152347816
R23,0.024617923728321802
640,0.02372090370849795
M21,0.023211552558764927
710,0.01827527108851581
G14,0.01905035103382312
719,0.021628624376703938
F09,0.02196034280164248
901,0.023657821822245486
902,0.02612349640282729
A09,0.01729942581568951
112,0.016786461135645026
A32,0.025726475307841532
D20,0.026486167067796322
A36,0.02412652686204342
228,0.02396056408712538
E01,0.023627622242728522
A38,0.02532719738311278
A41,0.024075162929182263
R29,0.02329007173978
A45,0.020554687297121184
S01,0.01967835879204029
A51,0.019256924037754183
L22,0.01919873111340419
D13,0.019184518031548324
A12,0.018970201115536288
D16,0.025845181908767875
724,0.02482403807705081
D17,0.02645218161752018
R17,0.02588550576414198
D26,0.020973654259493584
F11,0.02372702826918391
630,0.02339416984176272
F15,0.024127947923834926
M18,0.024164584814123966
F23,0.02103125508638027
R33,0.02055871480759485
G22,0.021325240718259607
G29,0.020463884847202643
L10,0.021006523240773123
J27,0.019085791895939827
L01,0.02385861699378463
A31,0.024517886572346173
L03,0.02550050375924895
L17,0.018834165382265823
M08,0.018394477772169893
L26,0.017833001543614606
254,0.017557350901133553
M20,0.02453387209942984
M22,0.02487340645020372
N04,0.015651429363664635
B16,0.015985449259562735
Q01,0.02483682532045451
101,0.012844617304902306
103,0.013055073065061866
104,0.013346281594677043
106,0.013611331915003994
107,0.01392795257983805
108,0.014204435523094678
109,0.01454507672663737
110,0.014875244355614402
111,0.015247322222422649
113,0.016216259513165392
114,0.0167104869218661
115,0.01702946464993438
116,0.017504126830605076
117,0.01813237005665596
118,0.018465762802500472
119,0.01884589732841839
120,0.02033717790807707
121,0.019763909410545642
122,0.02013461370591977
123,0.021578916769663628
124,0.020930998199945018
126,0.021671206275982756
128,0.023105466378954595
129,0.021788742353662134
130,0.02172207194595509
131,0.021665851949341626
133,0.021292903073241175
134,0.021019467654505415
135,0.020837671086158405
136,0.02073831497558542
137,0.022895411260705642
138,0.020261627124269144
139,0.019938599057451795
201,0.011116402029586199
204,0.011945272708920944
205,0.012162924586376885
206,0.012384123761371994
207,0.012565599091302268
208,0.012843218158755748
209,0.013126927046299369
210,0.013392754452522158
211,0.013782550341998464
212,0.014199397778338986
213,0.014614349771810501
214,0.014895986298018821
215,0.015262997092464002
216,0.015729155742603546
217,0.01609793802307566
218,0.016311946846067814
219,0.016613127586650844
220,0.01698644700090167
221,0.017522052001136892
224,0.01754543528267291
225,0.017914883761901382
226,0.018282158665834856
227,0.01848694391307607
230,0.02208100701148679
231,0.021136144697488323
233,0.020691085073932403
234,0.021407921502647295
236,0.0201347545887065
237,0.01971745376352158
238,0.019372728257574905
241,0.01855070485280514
242,0.01809382800581328
243,0.017579331155919583
244,0.017115876933120677
245,0.016678791226079744
246,0.016305672310020433
247,0.015812934067908156
248,0.018645114287040267
249,0.018241825048610508
250,0.018261022739175105
251,0.01735544579092755
252,0.01707241202946283
253,0.016808526477249938
255,0.0161667430825846
256,0.015871652601959167
257,0.015595680225313999
301,0.016111254021956657
302,0.016358044445732956
401,0.013424812222715115
402,0.013786718773841616
405,0.01415892910953727
406,0.014564613550812828
407,0.014877747111245478
408,0.015154019321468395
409,0.015489761284796554
410,0.01584811155294225
411,0.016139957692135474
412,0.016465409039631305
413,0.01682721964236528
416,0.018431528169632515
419,0.021902445120839786
420,0.021663416102945234
501,0.0118057970380646
502,0.012232734196756464
503,0.012673119325761813
504,0.013220253571258217
505,0.013500168339013774
601,0.0121482843263972
602,0.012413040612349538
603,0.012583270550925067
604,0.012858241746877191
606,0.013062607260786417
607,0.013239584786093257
608,0.013587199029007927
609,0.013855489957725169
610,0.014142034582968721
611,0.01433447034395032
612,0.014649774146346701
613,0.015016601257911925
614,0.01540972302046475
615,0.015852494129274714
616,0.01613701994419551
617,0.01653870922826557
618,0.016859399159256244
619,0.017302953202414408
621,0.019625145649000305
622,0.018475000310713124
623,0.018691707710490574
624,0.0189709569060201
625,0.01932036296724601
626,0.021283379801147747
627,0.0202794426897832
628,0.020754398852200182
632,0.021958900524715913
633,0.022023016158755578
634,0.02211160969468886
636,0.022419675025738373
638,0.022245323444714936
701,0.014268585037413885
702,0.014939038889793789
705,0.015383340665883793
706,0.01573061648381588
707,0.01605132887597229
708,0.016397159229075774
709,0.01675709328497496
711,0.01737257588148747
712,0.01766507062808362
713,0.018121365488669498
714,0.018418609445186137
715,0.018707892612277576
716,0.019084606209282894
718,0.01977720604497976
720,0.020583993074542523
721,0.020831696374722306
726,0.0213130633939629
A02,0.014854474746976347
A03,0.015182650141646518
A05,0.015648415122755912
A06,0.016114217609420955
A07,0.01639238007589296
A10,0.01697096987242584
A11,0.01732503736341278
A14,0.019503857788370237
A15,0.020363358680412457
A16,0.020266237830354892
A17,0.020568679151263616
A18,0.0208835194458379
A19,0.021203655137081973
A20,0.02163804533367418
A21,0.02198828639015515
A22,0.022549133060774225
A25,0.02356943764036353
A28,0.024030106539988882
A30,0.023532878426190097
A33,0.023225336327238878
A34,0.023520870155149146
A40,0.022206994285754178
A42,0.02219332808656501
A43,0.020832172616414853
A44,0.020461989469138322
A46,0.020125522483601912
A47,0.01936044336378614
A48,0.019243034529699315
A49,0.018525269885198484
A50,0.018194395006429432
A52,0.01745977454028373
A53,0.01712487372415593
A54,0.016652573897013415
A55,0.01658758122145134
A57,0.01596237688731036
A59,0.015677938111960565
A60,0.015372259259342519
A61,0.015073184746736192
A63,0.014817989693957083
A64,0.014566395349427465
A65,0.014314875994123325
B04,0.020552046305671864
B06,0.021379056837702037
B10,0.02290241831780345
B12,0.017023848633809104
B13,0.01668113118474819
B14,0.016396922852554677
B15,0.016112357372944086
B17,0.015436478040300461
B18,0.015109032021023098
B19,0.014828719524264587
B20,0.014620115608172585
B21,0.01442221208950211
B22,0.014131743065324715
B23,0.013762292943184812
D01,0.01353550252611102
D03,0.014617207878616345
D04,0.015013772669865288
D05,0.015355667948370708
D06,0.0156641130519095
D07,0.016038053734877447
D08,0.016381539309692505
D09,0.016812698024133814
D10,0.017243898055559162
D12,0.01825530577163475
D14,0.02421471990398749
D15,0.02533345725758263
D18,0.024208110616169398
D22,0.022775302354941847
D25,0.02109374237400442
D27,0.019412512021411858
D28,0.01905863737163463
D29,0.018587550023599967
D30,0.018372120773205717
D31,0.017994588324927084
D32,0.017620823896027087
D33,0.01735937973917382
D34,0.0169208716554099
D35,0.016425783763810112
D37,0.015940185461613986
D38,0.015739729440062567
D39,0.015366521877170157
D40,0.014920910814275205
D41,0.014171842484284571
D42,0.0146178126940117
D43,0.014606862596063384
F01,0.013179453873032604
F02,0.013517705119941437
F03,0.01388157456137072
F04,0.014168532205343493
F05,0.015347274432197407
F06,0.015898619030324326
F07,0.01613466582835023
F12,0.0231323701277398
F14,0.023312511683989665
F16,0.022704479389872752
F18,0.022080862024525784
F20,0.021699556869590752
F21,0.021105615014221438
F22,0.020584618862504407
F24,0.019501842684875
F25,0.019032002035662077
F26,0.01829819372039469
F27,0.017510814398650855
F29,0.01701497369561613
F30,0.01664112222436417
F31,0.01639273789429447
F32,0.016145012024559334
F33,0.015849041704943678
F34,0.015538368400411489
F35,0.015270252675466469
F36,0.014951445892538915
F38,0.014696393057344291
F39,0.014383005977390999
G05,0.015275854777427511
G06,0.015588284801541624
G07,0.014902933244660193
G08,0.01655720085583875
G09,0.01564420197342418
G10,0.016015722920753695
G11,0.016368452343196893
G12,0.01678386128790322
G13,0.017199965618657078
G15,0.017815728439786762
G16,0.018289694747758753
G18,0.018790643018037137
G19,0.01925006459409639
G20,0.01993188000536537
G21,0.02133700812306276
G24,0.01833755970269698
G26,0.018221053847170064
G28,0.018236189850148687
G30,0.01831966232621902
G31,0.018243980649186774
G32,0.018191057382424478
G33,0.01820471757685442
G34,0.018327047694919003
G35,0.018558606464855625
G36,0.018912192544833763
H01,0.014378180060494091
H02,0.014378180060494091
H03,0.014002317246939613
H04,0.011987111011233209
H06,0.011267935053731222
H07,0.011076796986281666
