,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
1530,G26,station,40.731352,283,Greenpoint Av,,Bk,-73.954449,G,station,station,G26
1531,G24,station,40.744065,282,21 St,,Q,-73.949724,G,station,station,G24
1533,G20,station,40.752039,272,36 St,,Q,-73.928781,M R,station,station,G20
1534,G21,station,40.748973,273,Queens Plaza,,Q,-73.937243,E M R,station,station,G21
1535,G28,station,40.724635,284,Nassau Av,,Bk,-73.951277,G,station,station,G28
1539,716,station,40.744587,460,33 St,,Q,-73.930997,7,station,station,716
1540,715,station,40.743781,459,40 St,,Q,-73.924016,7,station,station,715
1541,714,station,40.743132,458,46 St,,Q,-73.918435,7,station,station,714
1542,713,station,40.744149,457,52 St,,Q,-73.912549,7,station,station,713
1543,712,station,40.74563,456,Woodside - 61 St,,Q,-73.902984,7,station,station,712
1544,711,station,40.746325,455,69 St,,Q,-73.896403,7,station,station,711
1546,B23,station,40.588841,70,Bay 50 St,,Bk,-73.983765,D,station,station,B23
1547,B22,station,40.597704,69,25 Av,,Bk,-73.986829,D,station,station,B22
1548,B21,station,40.601875,68,Bay Pkwy,,Bk,-73.993728,D,station,station,B21
1549,B20,station,40.604556,67,20 Av,,Bk,-73.998168,D,station,station,B20
1551,J24,station,40.676992,91,Alabama Av,,Bk,-73.898654,J,station,station,J24
1552,J23,station,40.678024,90,Van Siclen Av,,Bk,-73.891688,J Z,station,station,J23
1553,J22,station,40.679947,89,Cleveland St,,Bk,-73.884639,J,station,station,J22
1554,J21,station,40.68141,88,Norwood Av,,Bk,-73.880039,J Z,station,station,J21
1555,J20,station,40.683194,87,Crescent St,,Bk,-73.873785,J Z,station,station,J20
1556,J29,station,40.68637,94,Halsey St,,Bk,-73.916559,J,station,station,J29
1557,J28,station,40.682893,93,Chauncey St,,Bk,-73.910456,J Z,station,station,J28
1558,F05,station,40.709179,258,Briarwood - Van Wyck Blvd,,Q,-73.820574,E F,station,station,F05
