,remote ,booth,complex_id,station,line_name,division
444,R248,H007,119.0,1 AVE,L,BMT
445,R248,H008,119.0,1 AVE,L,BMT
545,R314,N037,156.0,103 ST,BC,IND
339,R180,R252,395.0,103 ST,6,IRT
357,R191,R170,309.0,103 ST,1,IRT
390,R208,R529,450.0,103 ST-CORONA,7,IRT
11,R007,J034,82.0,104 ST,JZ,BMT
340,R181,R253,394.0,110 ST,6,IRT
341,R181,R254,394.0,110 ST,6,IRT
359,R192,R171,308.0,110 ST-CATHEDRL,1,IRT
358,R192,R172,308.0,110 ST-CATHEDRL,1,IRT
558,R323,R301,441.0,110 ST-CPN,23,IRT
12,R008,J035,81.0,111 ST,J,BMT
540,R310,R530,449.0,111 ST,7,IRT
574,R333,N030,154.0,116 ST,BC,IND
575,R333,N029,154.0,116 ST,BC,IND
342,R182,R256,393.0,116 ST,6,IRT
559,R324,R303,440.0,116 ST,23,IRT
560,R324,R302,440.0,116 ST,23,IRT
343,R182,R257,393.0,116 ST,6,IRT
292,R159,R173,307.0,116 ST-COLUMBIA,1,IRT
13,R009,J037,80.0,121 ST,JZ,BMT
81,R034,R174,306.0,125 ST,1,IRT
190,R102,N026,153.0,125 ST,ACBD,IND
191,R102,N025,153.0,125 ST,ACBD,IND
387,R206,R305,439.0,125 ST,23,IRT
386,R206,R304,439.0,125 ST,23,IRT
246,R132,R258,392.0,125 ST,456,IRT
388,R207,R306,438.0,135 ST,23,IRT
389,R207,R307,438.0,135 ST,23,IRT
573,R332,N022,152.0,135 ST,BC,IND
572,R332,N023,152.0,135 ST,BC,IND
571,R332,N024,152.0,135 ST,BC,IND
313,R169,R176,305.0,137 ST-CITY COL,1,IRT
314,R169,R175,305.0,137 ST-CITY COL,1,IRT
708,R445,R401,377.0,138 ST-3 AVE,6,IRT
537,R307,R259,391.0,138 ST-GR CONC,45,IRT
329,R175,N078,618.0,14 ST,ACEL,IND
195,R105,R127,601.0,14 ST,123FLM,IRT
196,R105,R128,601.0,14 ST,123FLM,IRT
