,STATION,UNIT
0,1 AV,R248
1,103 ST,R191
2,103 ST,R314
3,103 ST,R180
4,103 ST-CORONA,R208
5,104 ST,R007
6,104 ST,R354
7,110 ST,R181
8,111 ST,R310
9,111 ST,R355
10,111 ST,R008
11,116 ST,R182
12,116 ST,R324
13,116 ST,R333
14,116 ST-COLUMBIA,R159
15,121 ST,R009
16,125 ST,R102
17,125 ST,R034
18,125 ST,R206
19,125 ST,R132
20,135 ST,R207
21,135 ST,R332
22,137 ST CITY COL,R169
23,138/GRAND CONC,R307
24,14 ST,R105
25,14 ST,R163
26,14 ST,R175
27,14 ST-UNION SQ,R170
28,145 ST,R101
29,145 ST,R273
30,145 ST,R344
31,149/GRAND CONC,R205
32,14TH STREET,R545
33,15 ST-PROSPECT,R241
34,155 ST,R331
35,155 ST,R315
36,157 ST,R193
37,161/YANKEE STAD,R195
38,163 ST-AMSTERDM,R296
39,167 ST,R104
40,167 ST,R221
41,168 ST,R035
42,169 ST,R115
43,170 ST,R243
44,170 ST,R443
45,174 ST,R386
46,174-175 STS,R253
47,175 ST,R126
48,176 ST,R309
49,18 AV,R242
50,18 AV,R372
51,18 AV,R392
52,18 ST,R321
53,181 ST,R260
54,181 ST,R174
55,182-183 STS,R237
56,183 ST,R275
57,190 ST,R280
58,191 ST,R274
59,2 AV,R300
60,20 AV,R393
61,20 AV,R373
62,207 ST,R037
63,21 ST,R360
64,21 ST-QNSBRIDGE,R303
65,215 ST,R038
66,219 ST,R365
67,225 ST,R366
68,23 ST,R083
69,23 ST,R190
70,23 ST,R111
71,23 ST,R131
72,23 ST,R203
73,23 ST,R453
74,231 ST,R040
75,233 ST,R367
76,238 ST,R306
77,25 AV,R399
78,25 ST,R278
79,25 ST,R455
80,28 ST,R082
81,28 ST,R272
82,28 ST,R143
83,3 AV,R330
84,3 AV 138 ST,R445
85,3 AV-149 ST,R053
86,30 AV,R093
87,33 ST,R176
88,33 ST-RAWSON ST,R291
89,34 ST-HERALD SQ,R023
90,34 ST-HERALD SQ,R022
91,34 ST-HUDSON YD,R072
92,34 ST-PENN STA,R031
93,34 ST-PENN STA,R293
94,34 ST-PENN STA,R013
95,34 ST-PENN STA,R012
96,36 AV,R091
97,36 ST,R197
98,36 ST,R339
