,DOW,complex_id,avg(entries),avg(exits)
0,weekday,1,6937.75,9643.75
1,weekday,10,8465.975,12732.575
2,weekday,100,1212.2,1950.65
3,weekday,101,4818.675,7811.275
4,weekday,103,1261.9,2465.45
5,weekday,107,2450.25,1510.175
6,weekday,108,2233.325,2780.65
7,weekday,109,2965.275,4584.875
8,weekday,110,2214.875,2398.125
9,weekday,111,1320.65,2112.375
10,weekday,113,1891.075,3153.575
11,weekday,114,1629.05,2631.75
12,weekday,118,2384.825,4402.95
13,weekday,119,8521.825,17637.8
14,weekday,120,8879.0,21010.075
15,weekday,122,3509.65,4694.6
16,weekday,123,3280.65,5293.4
17,weekday,124,2631.675,2988.725
18,weekday,125,2525.35,3386.625
19,weekday,126,3035.725,1531.65
20,weekday,127,5148.675,2383.175
21,weekday,129,3173.9,3827.8
22,weekday,13,3651.675,7118.225
23,weekday,130,1955.875,3063.225
24,weekday,131,1079.625,1042.45
25,weekday,133,870.65,574.925
26,weekday,134,1457.025,2199.3
27,weekday,135,1337.975,1856.225
28,weekday,136,2041.725,3022.55
29,weekday,137,1509.2,2436.85
30,weekday,138,2659.925,1866.85
31,weekday,14,6869.525,6345.45
32,weekday,141,812.825,1210.475
33,weekday,143,4194.025,3037.55
34,weekday,144,2978.875,195.3
35,weekday,145,1919.9,944.175
36,weekday,146,4814.75,6797.525
37,weekday,147,5160.65,4515.35
38,weekday,149,2001.85,2675.125
39,weekday,150,1259.85,1559.65
40,weekday,151,10545.7,15981.975
41,weekday,152,2617.775,3345.775
42,weekday,153,12549.175,17007.525
43,weekday,154,3230.125,3795.225
44,weekday,155,3237.775,2619.0
45,weekday,156,2012.325,2253.8
46,weekday,157,4219.75,5154.45
47,weekday,158,4563.475,6402.15
48,weekday,159,5775.725,7458.55
49,weekday,16,5199.175,7451.35
50,weekday,160,3667.35,5067.625
51,weekday,162,8043.85,8851.925
52,weekday,164,29398.85,44323.875
53,weekday,165,8404.925,8946.925
54,weekday,167,13589.025,25582.2
55,weekday,168,4531.375,1918.45
56,weekday,169,6412.275,10382.725
57,weekday,17,3927.35,6780.625
58,weekday,173,4705.825,7883.225
59,weekday,175,4449.325,6642.075
60,weekday,176,2151.225,1545.1
61,weekday,177,2646.875,3755.275
62,weekday,179,7091.05,10756.775
63,weekday,180,2642.9,4061.625
64,weekday,181,6346.0,8288.275
65,weekday,182,2448.475,2086.6
66,weekday,183,2520.525,2371.525
67,weekday,185,1405.6,1010.95
