,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekday,evening,1,1189.6125,3067.2375
1,weekday,evening,10,2526.725,2834.8375
2,weekday,evening,100,316.9375,483.3625
3,weekday,evening,101,1313.375,2049.9875
4,weekday,evening,103,390.9125,582.2625
5,weekday,evening,107,965.1625,233.1
6,weekday,evening,108,449.1,804.525
7,weekday,evening,109,385.325,1680.2
8,weekday,evening,110,271.6125,830.675
9,weekday,evening,111,159.26136363636363,690.5113636363636
10,weekday,evening,113,378.1375,1008.5125
11,weekday,evening,114,271.025,900.4625
12,weekday,evening,118,767.8375,1023.5625
13,weekday,evening,119,2338.313953488372,3747.5232558139537
14,weekday,evening,120,2355.3846153846152,6361.346153846154
15,weekday,evening,122,778.0375,1259.525
16,weekday,evening,123,861.275,1125.825
17,weekday,evening,124,601.1625,758.7
18,weekday,evening,125,639.8375,727.425
19,weekday,evening,126,644.2,403.925
20,weekday,evening,127,851.9875,674.8625
21,weekday,evening,129,516.425,1169.775
22,weekday,evening,13,1180.320987654321,1568.3333333333333
23,weekday,evening,130,322.225,904.4125
24,weekday,evening,131,187.65,275.275
25,weekday,evening,133,189.4375,116.95
26,weekday,evening,134,259.6,613.05
27,weekday,evening,135,256.17721518987344,505.63291139240505
28,weekday,evening,136,323.525,892.925
29,weekday,evening,137,263.2375,678.1875
30,weekday,evening,138,448.1875,552.475
31,weekday,evening,14,2395.35,1349.4375
32,weekday,evening,141,186.5625,340.0625
33,weekday,evening,143,765.125,937.5375
34,weekday,evening,144,567.125,44.9875
35,weekday,evening,145,340.5375,277.6
36,weekday,evening,146,854.65,2192.5875
37,weekday,evening,147,949.3125,1387.7375
38,weekday,evening,149,372.5,784.125
39,weekday,evening,150,241.25,446.375
40,weekday,evening,151,2321.05,4238.7375
41,weekday,evening,152,701.625,811.675
42,weekday,evening,153,3285.9125,4174.75
43,weekday,evening,154,809.679012345679,1023.1851851851852
44,weekday,evening,155,775.225,684.5375
45,weekday,evening,156,472.7125,632.1125
46,weekday,evening,157,1308.320987654321,1251.5432098765432
47,weekday,evening,158,1473.3875,1452.525
48,weekday,evening,159,2183.05,1520.1125
49,weekday,evening,16,1633.25,1973.6625
50,weekday,evening,160,1245.2716049382716,1236.7407407407406
51,weekday,evening,162,2311.8,2041.5
52,weekday,evening,164,6136.2,11796.69411764706
53,weekday,evening,165,2641.7125,2008.8875
54,weekday,evening,167,4181.95,6707.875
55,weekday,evening,168,1638.45,492.1
56,weekday,evening,169,2319.7625,1940.5375
57,weekday,evening,17,1430.375,1794.5625
58,weekday,evening,173,1364.9397590361446,1870.8072289156626
59,weekday,evening,175,1402.987341772152,1619.3037974683543
60,weekday,evening,176,633.05,438.225
61,weekday,evening,177,670.2,860.7625
62,weekday,evening,179,1594.3333333333333,2993.9102564102564
63,weekday,evening,180,547.425,1052.55
64,weekday,evening,181,1190.7,2482.125
65,weekday,evening,182,444.3625,579.425
66,weekday,evening,183,428.15,721.2625
67,weekday,evening,185,304.0875,241.75
68,weekday,evening,186,217.25,640.1625
69,weekday,evening,187,219.2375,402.15
70,weekday,evening,188,733.525,699.5625
71,weekday,evening,189,323.23595505617976,997.1460674157304
72,weekday,evening,190,246.5625,565.2375
73,weekday,evening,191,146.55,289.3875
74,weekday,evening,192,635.0,411.8625
75,weekday,evening,193,114.475,161.1
76,weekday,evening,194,116.6125,226.575
77,weekday,evening,195,442.175,1415.6125
78,weekday,evening,196,150.7125,23.625
79,weekday,evening,197,51.4,343.75
80,weekday,evening,198,242.4578313253012,86.42168674698796
81,weekday,evening,199,21.9875,13.1125
82,weekday,evening,2,813.2875,1993.725
83,weekday,evening,20,873.1,314.675
84,weekday,evening,200,45.5125,155.3625
85,weekday,evening,201,48.58227848101266,93.16455696202532
86,weekday,evening,202,23.1375,48.1375
87,weekday,evening,203,72.6,146.875
88,weekday,evening,204,148.4875,352.6625
89,weekday,evening,205,136.83132530120483,342.30120481927713
90,weekday,evening,206,54.65,186.4375
91,weekday,evening,207,70.7,242.325
92,weekday,evening,208,146.875,420.55
93,weekday,evening,209,492.7625,859.8125
94,weekday,evening,210,679.875,1375.0375
95,weekday,evening,211,619.2125,926.8875
96,weekday,evening,212,572.325,1299.775
97,weekday,evening,213,1045.175,1396.35
98,weekday,evening,214,422.5625,446.9625
99,weekday,evening,215,704.6125,1603.2125
100,weekday,evening,216,504.125,468.775
101,weekday,evening,217,609.8125,771.3
102,weekday,evening,218,708.4125,809.675
103,weekday,evening,22,623.7875,237.1125
104,weekday,evening,220,356.525,446.2125
105,weekday,evening,221,1276.525,1409.875
106,weekday,evening,222,873.35,1473.375
107,weekday,evening,223,2993.3625,2641.975
108,weekday,evening,224,1928.2125,1472.4375
109,weekday,evening,225,7780.85,4561.125
110,weekday,evening,228,3074.825,3350.6125
111,weekday,evening,231,3638.2375,2838.9375
112,weekday,evening,232,1662.6625,2964.075
113,weekday,evening,234,1665.3625,1367.8125
114,weekday,evening,235,1461.05,942.675
115,weekday,evening,236,1271.9,1785.9375
116,weekday,evening,237,1186.15,1014.175
117,weekday,evening,238,562.675,887.35
118,weekday,evening,240,1456.6625,1107.2375
119,weekday,evening,241,548.625,774.025
120,weekday,evening,242,480.55,442.6
121,weekday,evening,243,833.1875,1324.15
122,weekday,evening,244,448.325,430.3375
123,weekday,evening,245,435.55,573.225
124,weekday,evening,246,343.6125,161.6625
125,weekday,evening,247,161.48101265822785,77.34177215189874
126,weekday,evening,248,283.1875,227.4625
127,weekday,evening,249,204.25,220.9625
128,weekday,evening,250,358.9125,697.125
129,weekday,evening,251,199.9625,150.5875
130,weekday,evening,252,260.1625,428.775
131,weekday,evening,253,210.72151898734177,119.50632911392405
132,weekday,evening,254,1319.1625,1826.1875
133,weekday,evening,255,799.3625,1396.6125
134,weekday,evening,256,736.675,1239.0375
135,weekday,evening,257,379.6,702.45
136,weekday,evening,258,416.525,493.95
137,weekday,evening,259,1814.0875,4816.1125
138,weekday,evening,26,2498.725,1729.5
139,weekday,evening,260,273.175,196.8
140,weekday,evening,261,2508.075,3021.7375
141,weekday,evening,262,735.5375,761.275
142,weekday,evening,263,1314.175,1188.2125
143,weekday,evening,264,1760.3953488372092,2950.8372093023254
144,weekday,evening,265,1349.139240506329,2414.3037974683543
145,weekday,evening,266,873.5802469135803,743.2469135802469
146,weekday,evening,268,290.1625,695.1625
147,weekday,evening,269,625.625,1219.775
148,weekday,evening,270,698.8,1356.7375
149,weekday,evening,271,1405.325,2178.15
150,weekday,evening,272,587.625,315.9625
151,weekday,evening,273,1834.9375,1935.65
152,weekday,evening,276,3303.95,1586.9625
153,weekday,evening,277,2073.2625,2160.4125
154,weekday,evening,278,2845.9625,5918.7625
155,weekday,evening,279,2433.2875,4348.1375
156,weekday,evening,28,733.875,961.8
157,weekday,evening,280,482.55,1050.5125
158,weekday,evening,282,264.9875,279.25
159,weekday,evening,283,1103.175,1298.175
160,weekday,evening,284,938.4625,2011.4375
161,weekday,evening,286,623.0632911392405,765.3037974683544
162,weekday,evening,287,464.5875,462.35
163,weekday,evening,288,509.9,667.5625
164,weekday,evening,289,636.625,1090.4
165,weekday,evening,290,529.7125,1100.3
166,weekday,evening,291,568.7625,567.6875
167,weekday,evening,292,865.3625,1071.15
168,weekday,evening,293,577.7790697674419,660.5348837209302
169,weekday,evening,294,372.7375,93.7875
170,weekday,evening,295,941.0875,197.7
171,weekday,evening,296,533.2875,249.8625
172,weekday,evening,297,246.9375,126.55
173,weekday,evening,298,746.075,580.15
174,weekday,evening,299,758.641975308642,965.283950617284
175,weekday,evening,3,1067.1875,2441.4375
176,weekday,evening,30,543.1318681318681,717.5934065934066
177,weekday,evening,300,787.2,1931.4125
178,weekday,evening,301,1030.8875,2071.825
179,weekday,evening,303,1107.2625,1535.2125
180,weekday,evening,304,950.575,1741.0125
181,weekday,evening,305,1424.2625,2262.2625
182,weekday,evening,306,956.3375,1515.85
183,weekday,evening,307,1892.9125,1171.0
184,weekday,evening,308,1476.6341463414635,1343.0365853658536
185,weekday,evening,309,1392.425,1269.375
186,weekday,evening,31,406.1,550.275
187,weekday,evening,310,4002.716049382716,5922.580246913581
188,weekday,evening,311,2289.45,3044.25
189,weekday,evening,312,2001.8375,1726.8375
190,weekday,evening,313,4703.175,6096.6375
191,weekday,evening,314,2956.3,2887.175
192,weekday,evening,316,2802.425,3137.8
193,weekday,evening,318,2826.05625,6539.4625
194,weekday,evening,319,1709.925,1467.0625
195,weekday,evening,32,1972.8875,1626.2375
196,weekday,evening,320,1744.1,1812.3375
197,weekday,evening,321,955.2375,789.175
198,weekday,evening,323,1118.925,1749.8
199,weekday,evening,324,1613.6375,1182.8625
200,weekday,evening,325,647.75,654.8125
201,weekday,evening,326,707.6125,465.6625
202,weekday,evening,327,2907.2375,1882.4375
203,weekday,evening,328,1550.0625,1626.75
204,weekday,evening,329,879.75,601.2125
205,weekday,evening,33,680.15,987.6375
206,weekday,evening,333,2311.425,1459.7625
207,weekday,evening,334,0.014705882352941176,0.5882352941176471
208,weekday,evening,336,1073.325,909.2875
209,weekday,evening,337,1192.8125,1431.95
210,weekday,evening,339,340.6625,627.25
211,weekday,evening,34,835.425,1860.9625
212,weekday,evening,340,743.575,563.1375
213,weekday,evening,341,443.9125,904.475
214,weekday,evening,343,423.15,677.8875
215,weekday,evening,344,455.9,759.475
216,weekday,evening,345,1858.0,4287.55
217,weekday,evening,346,535.975,1553.175
218,weekday,evening,347,373.6875,1225.05
219,weekday,evening,348,397.075,1084.375
220,weekday,evening,349,245.25316455696202,638.2151898734177
221,weekday,evening,35,1343.675,2133.575
222,weekday,evening,350,422.3875,484.075
223,weekday,evening,351,189.4375,646.2875
224,weekday,evening,352,449.2,1200.3
