,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekday,morning,1,1957.566265060241,930.8795180722891
1,weekday,morning,10,895.025,2867.975
2,weekday,morning,100,242.7125,369.1875
3,weekday,morning,101,893.8024691358024,1473.2716049382716
4,weekday,morning,103,141.175,500.375
5,weekday,morning,107,192.1375,451.3875
6,weekday,morning,108,585.925,435.575
7,weekday,morning,109,1021.5975609756098,289.8048780487805
8,weekday,morning,110,800.0375,182.225
9,weekday,morning,111,455.4567901234568,147.1358024691358
10,weekday,morning,113,538.3625,402.5875
11,weekday,morning,114,518.1875,231.1625
12,weekday,morning,118,223.375,936.7
13,weekday,morning,119,1198.1046511627908,3389.732558139535
14,weekday,morning,120,1531.8433734939758,2816.4939759036147
15,weekday,morning,122,816.1875,664.1125
16,weekday,morning,123,651.604938271605,1189.1234567901236
17,weekday,morning,124,592.25,417.5125
18,weekday,morning,125,499.7625,674.825
19,weekday,morning,126,698.2,238.3125
20,weekday,morning,127,1498.9382716049383,330.61728395061726
21,weekday,morning,129,935.825,385.275
22,weekday,morning,13,375.75308641975306,1613.3456790123457
23,weekday,morning,130,580.9625,318.3875
24,weekday,morning,131,309.55,125.7125
25,weekday,morning,133,211.3375,131.7
26,weekday,morning,134,424.8,325.1625
27,weekday,morning,135,365.1566265060241,325.09638554216866
28,weekday,morning,136,610.9878048780488,396.3536585365854
29,weekday,morning,137,441.85,356.1
30,weekday,morning,138,776.890243902439,274.0853658536585
31,weekday,morning,14,630.7875,1614.6375
32,weekday,morning,141,193.975,197.6
33,weekday,morning,143,1226.5,351.65
34,weekday,morning,144,863.9,27.5875
35,weekday,morning,145,574.3375,132.5
36,weekday,morning,146,1455.8148148148148,667.5555555555555
37,weekday,morning,147,1442.725,521.375
38,weekday,morning,149,579.0875,289.6
39,weekday,morning,150,360.8375,178.2625
40,weekday,morning,151,2544.2375,2376.6375
41,weekday,morning,152,557.5375,683.3
42,weekday,morning,153,2408.1111111111113,3177.753086419753
43,weekday,morning,154,680.6428571428571,614.4880952380952
44,weekday,morning,155,772.5875,454.7125
45,weekday,morning,156,478.1585365853659,307.390243902439
46,weekday,morning,157,683.5625,1104.425
47,weekday,morning,158,649.3529411764706,1428.070588235294
48,weekday,morning,159,582.55,2065.975
49,weekday,morning,16,524.7875,1399.7375
50,weekday,morning,160,468.1875,1105.1875
51,weekday,morning,162,1132.0125,1834.9625
52,weekday,morning,164,6240.1547619047615,7259.452380952381
53,weekday,morning,165,1132.4444444444443,2034.6543209876543
54,weekday,morning,167,1182.0238095238096,4711.916666666667
55,weekday,morning,168,384.6951219512195,387.2682926829268
56,weekday,morning,169,534.1111111111111,2856.5555555555557
57,weekday,morning,17,307.8,1375.15
58,weekday,morning,173,734.8375,1660.4375
59,weekday,morning,175,638.525,1347.025
60,weekday,morning,176,308.5375,230.425
61,weekday,morning,177,539.6860465116279,712.0813953488372
62,weekday,morning,179,1676.5121951219512,1551.6829268292684
63,weekday,morning,180,680.9,596.8125
64,weekday,morning,181,1787.6375,1000.4375
65,weekday,morning,182,723.2375,305.8
66,weekday,morning,183,781.1,300.9125
67,weekday,morning,185,358.0,195.7530864197531
68,weekday,morning,186,459.4375,227.625
69,weekday,morning,187,519.85,173.925
70,weekday,morning,188,1524.9259259259259,373.1358024691358
71,weekday,morning,189,888.2962962962963,328.0
72,weekday,morning,190,797.55,80.6875
73,weekday,morning,191,544.0625,58.3625
74,weekday,morning,192,1237.7,161.725
75,weekday,morning,193,333.5125,49.8
76,weekday,morning,194,509.2682926829268,34.48780487804878
77,weekday,morning,195,1300.6875,378.975
78,weekday,morning,196,57.1375,10.8
79,weekday,morning,197,131.76543209876544,137.62962962962962
80,weekday,morning,198,229.0121951219512,40.03658536585366
81,weekday,morning,199,49.675,9.9875
82,weekday,morning,2,1398.0,592.075
83,weekday,morning,20,215.375,509.575
84,weekday,morning,200,112.975,50.7125
85,weekday,morning,201,60.6625,75.225
86,weekday,morning,202,29.3,38.9
87,weekday,morning,203,99.2625,99.6625
88,weekday,morning,204,330.0625,130.625
89,weekday,morning,205,307.4,135.5875
90,weekday,morning,206,121.0875,71.075
91,weekday,morning,207,166.85,85.25
92,weekday,morning,208,291.4,213.9375
93,weekday,morning,209,539.9634146341464,553.6463414634146
94,weekday,morning,210,1346.0987654320988,471.7901234567901
95,weekday,morning,211,1090.4197530864199,340.6666666666667
96,weekday,morning,212,1061.9638554216867,518.9879518072289
97,weekday,morning,213,1364.4197530864199,621.2222222222222
98,weekday,morning,214,690.6875,228.225
99,weekday,morning,215,1416.3,672.0625
100,weekday,morning,216,630.0,336.375
101,weekday,morning,217,964.939024390244,415.4512195121951
102,weekday,morning,218,1241.0125,407.325
103,weekday,morning,22,288.9625,376.6375
104,weekday,morning,220,515.3875,244.2875
105,weekday,morning,221,1313.2911392405063,1212.4556962025317
106,weekday,morning,222,943.725,659.4
107,weekday,morning,223,1004.1829268292682,3893.5975609756097
108,weekday,morning,224,394.0987654320988,2601.604938271605
109,weekday,morning,225,1191.65,11099.5
110,weekday,morning,228,1121.5,3441.7738095238096
111,weekday,morning,231,1430.8375,3404.25
112,weekday,morning,232,748.314606741573,1636.0674157303372
113,weekday,morning,234,1085.3809523809523,1044.7738095238096
114,weekday,morning,235,513.9125,1331.7625
115,weekday,morning,236,852.8518518518518,1276.4444444444443
116,weekday,morning,237,1025.025,791.1
117,weekday,morning,238,360.075,947.05
118,weekday,morning,240,1033.0,961.6666666666666
119,weekday,morning,241,664.0,272.4567901234568
120,weekday,morning,242,862.3,145.6625
121,weekday,morning,243,1463.6296296296296,588.2222222222222
122,weekday,morning,244,599.9397590361446,237.66265060240963
123,weekday,morning,245,497.775,347.225
124,weekday,morning,246,212.1125,143.6625
125,weekday,morning,247,202.0759493670886,85.72151898734177
126,weekday,morning,248,468.0987654320988,118.32098765432099
127,weekday,morning,249,402.25,119.5875
128,weekday,morning,250,516.1375,340.3375
129,weekday,morning,251,273.0617283950617,109.8641975308642
130,weekday,morning,252,411.3625,249.675
131,weekday,morning,253,223.975,118.575
132,weekday,morning,254,3439.6588235294116,635.9058823529411
133,weekday,morning,255,1098.3625,692.8625
134,weekday,morning,256,1001.8375,714.7
135,weekday,morning,257,684.2125,238.4625
136,weekday,morning,258,781.8765432098766,289.61728395061726
137,weekday,morning,259,3700.731707317073,2465.817073170732
138,weekday,morning,26,1315.2272727272727,1741.8181818181818
139,weekday,morning,260,443.8625,117.1875
140,weekday,morning,261,3090.4666666666667,1171.4555555555555
141,weekday,morning,262,1209.641975308642,393.5432098765432
142,weekday,morning,263,1971.2625,572.3125
143,weekday,morning,264,2639.154761904762,1180.7738095238096
144,weekday,morning,265,2976.775,856.975
145,weekday,morning,266,2149.3125,349.2
146,weekday,morning,268,560.1375,198.8625
147,weekday,morning,269,1001.925,558.5
148,weekday,morning,270,1093.20987654321,786.7037037037037
