,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekday,overnight,1,248.2875,788.85
1,weekday,overnight,10,811.2375,663.475
2,weekday,overnight,100,46.45,122.775
3,weekday,overnight,101,190.9875,363.9625
4,weekday,overnight,103,98.8625,150.0875
5,weekday,overnight,107,67.825,70.6
6,weekday,overnight,108,81.6375,150.225
7,weekday,overnight,109,50.175,315.1875
8,weekday,overnight,110,35.7875,186.1625
9,weekday,overnight,111,23.9875,147.65
10,weekday,overnight,113,29.0375,165.6875
11,weekday,overnight,114,25.3125,184.25
12,weekday,overnight,118,201.2,241.2125
13,weekday,overnight,119,459.2625,1146.35
14,weekday,overnight,120,553.7125,1380.6125
15,weekday,overnight,122,160.6,423.6625
16,weekday,overnight,123,112.28235294117647,298.2470588235294
17,weekday,overnight,124,120.91358024691358,314.22222222222223
18,weekday,overnight,125,123.075,291.0625
19,weekday,overnight,126,175.4625,123.5875
20,weekday,overnight,127,204.675,181.975
21,weekday,overnight,129,134.7,358.85
22,weekday,overnight,13,250.3125,337.6625
23,weekday,overnight,130,74.75,308.8125
24,weekday,overnight,131,42.6125,120.2375
25,weekday,overnight,133,34.55,38.8125
26,weekday,overnight,134,44.1125,161.4375
27,weekday,overnight,135,37.1625,91.5125
28,weekday,overnight,136,71.075,212.0875
29,weekday,overnight,137,49.5125,184.1375
30,weekday,overnight,138,84.4074074074074,98.77777777777777
31,weekday,overnight,14,408.625,208.65
32,weekday,overnight,141,25.875,67.575
33,weekday,overnight,143,105.3875,229.5875
34,weekday,overnight,144,58.4125,25.075
35,weekday,overnight,145,45.075,61.9875
36,weekday,overnight,146,78.7125,530.275
37,weekday,overnight,147,188.2875,348.5625
38,weekday,overnight,149,49.3375,263.8375
39,weekday,overnight,150,27.8375,155.1875
40,weekday,overnight,151,407.5625,1375.6125
41,weekday,overnight,152,49.725,177.9125
42,weekday,overnight,153,550.4625,1111.5375
43,weekday,overnight,154,80.5875,216.425
44,weekday,overnight,155,71.075,170.25
45,weekday,overnight,156,40.78823529411765,169.14117647058825
46,weekday,overnight,157,101.6375,205.6125
47,weekday,overnight,158,118.4125,231.225
48,weekday,overnight,159,122.2625,143.1875
49,weekday,overnight,16,441.55,352.275
50,weekday,overnight,160,104.65,176.425
51,weekday,overnight,162,578.1125,549.5
52,weekday,overnight,164,1205.5925925925926,1485.5740740740741
53,weekday,overnight,165,414.15,404.4875
54,weekday,overnight,167,1371.4375,1135.7125
55,weekday,overnight,168,232.925,70.175
56,weekday,overnight,169,317.7816091954023,329.71264367816093
57,weekday,overnight,17,225.5,220.6
