,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekend,evening,1,1220.1875,3032.6875
1,weekend,evening,10,4112.6875,4851.125
2,weekend,evening,100,347.8125,719.3125
3,weekend,evening,101,1437.6875,2747.8125
4,weekend,evening,103,635.8125,1111.8125
5,weekend,evening,107,485.5625,404.8125
6,weekend,evening,108,287.5625,567.0
7,weekend,evening,109,414.125,1256.4375
8,weekend,evening,110,306.8125,739.5625
9,weekend,evening,111,225.1875,712.5625
10,weekend,evening,113,431.625,1098.8125
11,weekend,evening,114,327.625,929.625
12,weekend,evening,118,833.375,1886.625
13,weekend,evening,119,2373.375,6459.6875
14,weekend,evening,120,3642.625,9605.5625
15,weekend,evening,122,730.9375,1736.5
16,weekend,evening,123,531.375,1293.9375
17,weekend,evening,124,612.4375,1202.5
18,weekend,evening,125,677.1875,1118.0625
19,weekend,evening,126,775.625,622.6875
20,weekend,evening,127,803.6875,697.3125
21,weekend,evening,129,493.1875,1359.1875
22,weekend,evening,13,1350.375,2755.8125
23,weekend,evening,130,302.4375,1058.1875
24,weekend,evening,131,173.125,340.125
25,weekend,evening,133,65.375,71.9375
26,weekend,evening,134,112.25,319.875
27,weekend,evening,135,114.0,252.1875
28,weekend,evening,136,154.125,379.3125
29,weekend,evening,137,125.6875,249.625
30,weekend,evening,138,233.5,233.4375
31,weekend,evening,14,2692.5,1787.1875
32,weekend,evening,141,174.3125,409.8125
33,weekend,evening,143,896.0625,1041.5
34,weekend,evening,144,693.875,65.9375
35,weekend,evening,145,269.6875,270.1875
36,weekend,evening,146,1031.4375,2460.625
37,weekend,evening,147,965.625,1532.5
38,weekend,evening,149,455.375,945.3125
39,weekend,evening,150,271.875,550.0625
40,weekend,evening,151,1887.875,5280.0
41,weekend,evening,152,452.0625,699.125
42,weekend,evening,153,3039.875,5401.8125
43,weekend,evening,154,741.75,1114.1875
44,weekend,evening,155,763.5,797.875
45,weekend,evening,156,478.0,760.25
46,weekend,evening,157,681.4375,1064.1875
47,weekend,evening,158,891.1875,1225.1875
48,weekend,evening,159,2576.875,2050.0
49,weekend,evening,16,2559.0,3814.25
50,weekend,evening,160,1004.5625,1124.25
51,weekend,evening,162,2540.0625,2787.8125
52,weekend,evening,164,7412.0,11740.625
53,weekend,evening,165,1850.9375,2213.5
54,weekend,evening,167,5719.4375,11201.125
55,weekend,evening,168,1178.25,471.4375
56,weekend,evening,169,1853.5,2723.0
57,weekend,evening,17,2713.5,3480.0625
58,weekend,evening,173,1549.9375,2174.875
59,weekend,evening,175,1322.6875,2191.1875
60,weekend,evening,176,518.125,570.125
61,weekend,evening,177,390.5,895.125
62,weekend,evening,179,1553.1875,3385.0
63,weekend,evening,180,393.75,1164.25
64,weekend,evening,181,1355.5625,2905.25
65,weekend,evening,182,368.8125,579.6875
66,weekend,evening,183,308.1875,577.375
67,weekend,evening,185,209.4375,242.9375
68,weekend,evening,186,219.9375,579.8125
69,weekend,evening,187,222.6875,390.875
70,weekend,evening,188,633.9375,726.8125
71,weekend,evening,189,334.3125,989.75
72,weekend,evening,190,286.3125,432.9375
73,weekend,evening,191,174.625,202.625
74,weekend,evening,192,829.0625,459.125
75,weekend,evening,193,77.4375,111.375
76,weekend,evening,194,139.8125,138.6875
77,weekend,evening,195,470.9375,987.6875
78,weekend,evening,196,303.375,33.25
79,weekend,evening,197,49.9375,307.6875
80,weekend,evening,198,296.875,67.5
81,weekend,evening,199,14.4375,14.0625
82,weekend,evening,2,816.75,2173.5625
83,weekend,evening,20,408.0625,255.6875
84,weekend,evening,200,47.5,112.9375
85,weekend,evening,201,24.875,76.0625
86,weekend,evening,202,11.5,36.0
