,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekend,morning,1,709.0,560.96875
1,weekend,morning,10,767.65625,1469.9375
2,weekend,morning,100,101.75,154.9375
3,weekend,morning,101,337.9375,685.90625
4,weekend,morning,103,111.6875,458.90625
5,weekend,morning,107,92.90625,117.53125
6,weekend,morning,108,154.34375,200.8125
7,weekend,morning,109,309.5,170.28125
8,weekend,morning,110,212.71875,88.5
9,weekend,morning,111,134.28125,82.03125
10,weekend,morning,113,182.40625,177.6875
11,weekend,morning,114,148.96875,114.28125
12,weekend,morning,118,113.09375,423.75
13,weekend,morning,119,496.28125,1284.4375
14,weekend,morning,120,613.53125,2009.15625
15,weekend,morning,122,258.65625,291.4375
16,weekend,morning,123,205.59375,310.875
17,weekend,morning,124,229.1875,232.5
18,weekend,morning,125,208.46875,268.375
19,weekend,morning,126,273.15625,119.53125
20,weekend,morning,127,523.75,158.15625
21,weekend,morning,129,303.03125,203.65625
22,weekend,morning,13,295.53125,920.375
23,weekend,morning,130,214.375,156.8125
24,weekend,morning,131,128.1875,71.03125
25,weekend,morning,133,31.0625,18.96875
26,weekend,morning,134,64.125,75.78125
27,weekend,morning,135,61.03125,79.96875
28,weekend,morning,136,85.21875,94.625
29,weekend,morning,137,52.5,75.84375
30,weekend,morning,138,110.21875,67.6875
31,weekend,morning,14,457.78125,828.6875
32,weekend,morning,141,69.3125,88.75
33,weekend,morning,143,459.375,211.96875
34,weekend,morning,144,325.03125,23.34375
35,weekend,morning,145,221.9375,78.53125
36,weekend,morning,146,586.46875,348.65625
37,weekend,morning,147,582.1875,352.90625
38,weekend,morning,149,246.78125,156.5
39,weekend,morning,150,156.5625,95.21875
40,weekend,morning,151,1203.25,1047.75
41,weekend,morning,152,191.75,150.25
42,weekend,morning,153,1134.59375,1768.34375
43,weekend,morning,154,235.4375,286.375
44,weekend,morning,155,276.875,195.125
45,weekend,morning,156,188.75,146.40625
46,weekend,morning,157,210.78125,374.4375
47,weekend,morning,158,223.09375,514.75
48,weekend,morning,159,250.90625,1108.03125
49,weekend,morning,16,319.625,1012.34375
50,weekend,morning,160,219.09375,483.8125
51,weekend,morning,162,687.59375,693.125
52,weekend,morning,164,2313.1875,4007.09375
53,weekend,morning,165,413.09375,734.8125
54,weekend,morning,167,629.4242424242424,2692.969696969697
55,weekend,morning,168,150.8125,137.53125
56,weekend,morning,169,301.27272727272725,1066.6969696969697
57,weekend,morning,17,272.78125,1419.4375
58,weekend,morning,173,282.71875,743.90625
59,weekend,morning,175,296.34375,758.875
60,weekend,morning,176,105.75,122.96875
61,weekend,morning,177,159.75,225.53125
62,weekend,morning,179,561.84375,699.59375
63,weekend,morning,180,222.09375,221.625
64,weekend,morning,181,628.1875,754.1875
65,weekend,morning,182,189.90625,147.5625
66,weekend,morning,183,174.0625,110.5
67,weekend,morning,185,118.0625,84.0
68,weekend,morning,186,150.6875,105.5625
69,weekend,morning,187,170.15625,97.4375
70,weekend,morning,188,533.625,215.5
71,weekend,morning,189,303.34375,191.25
72,weekend,morning,190,251.09375,60.1875
73,weekend,morning,191,162.53125,37.875
74,weekend,morning,192,476.59375,124.0
75,weekend,morning,193,89.46875,27.15625
76,weekend,morning,194,122.25,25.8125
77,weekend,morning,195,375.5,273.0
78,weekend,morning,196,28.6875,11.03125
79,weekend,morning,197,16.96875,95.4375
80,weekend,morning,198,88.09375,24.125
81,weekend,morning,199,7.4375,4.84375
82,weekend,morning,2,542.40625,365.5
83,weekend,morning,20,61.96875,133.5625
84,weekend,morning,200,27.3125,38.65625
85,weekend,morning,201,19.53125,26.34375
86,weekend,morning,202,6.59375,11.5625
87,weekend,morning,203,34.875,73.96875
88,weekend,morning,204,102.84375,81.71875
89,weekend,morning,205,95.6875,66.78125
90,weekend,morning,206,33.625,39.59375
91,weekend,morning,207,45.875,41.9375
92,weekend,morning,208,79.6875,64.1875
93,weekend,morning,209,153.0625,236.53125
94,weekend,morning,210,490.8125,272.0
95,weekend,morning,211,412.0625,178.0
96,weekend,morning,212,418.625,255.5625
97,weekend,morning,213,605.0,327.21875
98,weekend,morning,214,285.15625,136.40625
99,weekend,morning,215,547.375,349.5625
100,weekend,morning,216,259.59375,124.6875
101,weekend,morning,217,382.625,211.65625
102,weekend,morning,218,528.0,227.96875
103,weekend,morning,22,121.09375,102.625
104,weekend,morning,220,186.25,115.78125
105,weekend,morning,221,694.75,438.03125
106,weekend,morning,222,413.5625,335.96875
107,weekend,morning,223,455.09375,1397.8125
108,weekend,morning,224,259.375,977.65625
109,weekend,morning,225,642.53125,2064.375
110,weekend,morning,228,469.84375,1186.90625
111,weekend,morning,231,754.4375,1827.875
112,weekend,morning,232,446.03125,1171.78125
113,weekend,morning,234,478.0625,598.1875
114,weekend,morning,235,253.0625,646.15625
115,weekend,morning,236,294.0625,571.3125
116,weekend,morning,237,297.875,322.6875
117,weekend,morning,238,132.90625,365.09375
118,weekend,morning,240,341.875,311.15625
119,weekend,morning,241,202.625,209.71875
120,weekend,morning,242,231.6875,69.59375
121,weekend,morning,243,655.375,374.84375
122,weekend,morning,244,47.65625,13.5625
123,weekend,morning,245,58.15625,54.34375
124,weekend,morning,246,14.8125,9.09375
125,weekend,morning,247,17.03030303030303,8.303030303030303
126,weekend,morning,248,38.75,9.6875
127,weekend,morning,249,34.9375,10.125
128,weekend,morning,250,56.46875,44.125
129,weekend,morning,251,29.09375,16.5625
130,weekend,morning,252,37.78125,20.1875
131,weekend,morning,253,16.40625,12.3125
132,weekend,morning,254,942.7575757575758,379.3030303030303
133,weekend,morning,255,417.40625,310.65625
134,weekend,morning,256,412.9375,296.5
135,weekend,morning,257,264.5625,147.25
136,weekend,morning,258,282.96875,110.5625
137,weekend,morning,259,1258.03125,1017.28125
138,weekend,morning,26,668.25,792.15625
139,weekend,morning,260,141.03125,72.3125
140,weekend,morning,261,1092.125,653.1875
141,weekend,morning,262,344.5625,131.25
142,weekend,morning,263,632.25,340.875
143,weekend,morning,264,851.4375,680.0625
144,weekend,morning,265,1041.125,457.875
145,weekend,morning,266,788.28125,224.9375
146,weekend,morning,268,175.75,115.59375
147,weekend,morning,269,303.5625,213.09375
148,weekend,morning,270,354.625,274.4375
149,weekend,morning,271,487.6875,557.96875
150,weekend,morning,272,96.5,96.65625
151,weekend,morning,273,483.0,672.28125
152,weekend,morning,276,217.8125,1085.0
153,weekend,morning,277,430.2121212121212,957.7272727272727
154,weekend,morning,278,1288.03125,1205.875
155,weekend,morning,279,1196.09375,1190.125
156,weekend,morning,28,229.21875,438.96875
157,weekend,morning,280,274.09375,324.65625
158,weekend,morning,282,56.125,131.125
159,weekend,morning,283,285.84375,451.25
160,weekend,morning,284,247.28125,718.375
161,weekend,morning,286,212.59375,223.59375
162,weekend,morning,287,75.125,175.03125
163,weekend,morning,288,216.84375,108.5
