,DOW,TOD,complex_id,avg(entries),avg(exits)
0,weekend,overnight,1,135.375,618.125
1,weekend,overnight,10,558.5625,648.3125
2,weekend,overnight,100,75.75,276.5625
3,weekend,overnight,101,341.5625,755.0625
4,weekend,overnight,103,136.0,214.5625
5,weekend,overnight,107,105.5,163.8125
6,weekend,overnight,108,29.3125,105.25
7,weekend,overnight,109,64.875,468.9375
8,weekend,overnight,110,46.875,299.9375
9,weekend,overnight,111,42.0625,248.8125
10,weekend,overnight,113,57.25,290.9375
11,weekend,overnight,114,63.6875,351.0625
12,weekend,overnight,118,181.375,339.125
13,weekend,overnight,119,434.1875,1263.8125
14,weekend,overnight,120,1081.5625,2609.75
15,weekend,overnight,122,118.25,336.9375
16,weekend,overnight,123,84.25,283.375
17,weekend,overnight,124,106.8125,309.125
18,weekend,overnight,125,94.8125,246.8125
19,weekend,overnight,126,268.9375,144.4375
20,weekend,overnight,127,120.4375,143.8125
21,weekend,overnight,129,116.0,384.9375
22,weekend,overnight,13,237.5625,330.4375
23,weekend,overnight,130,53.0,276.75
24,weekend,overnight,131,26.375,103.8125
25,weekend,overnight,133,13.8125,18.9375
26,weekend,overnight,134,39.375,189.25
27,weekend,overnight,135,32.875,103.5625
28,weekend,overnight,136,62.875,253.125
29,weekend,overnight,137,39.4375,183.75
30,weekend,overnight,138,67.0,117.5
31,weekend,overnight,14,254.125,203.75
32,weekend,overnight,141,34.875,125.75
33,weekend,overnight,143,144.1875,351.5
34,weekend,overnight,144,99.1875,38.5
35,weekend,overnight,145,24.875,65.125
36,weekend,overnight,146,116.4375,844.1875
37,weekend,overnight,147,95.0625,241.625
38,weekend,overnight,149,72.8125,462.0
39,weekend,overnight,150,40.25,262.8125
40,weekend,overnight,151,253.5,1158.8125
41,weekend,overnight,152,75.0625,305.625
42,weekend,overnight,153,323.9375,970.5625
43,weekend,overnight,154,129.0,352.1875
44,weekend,overnight,155,115.9375,284.875
45,weekend,overnight,156,70.625,289.875
46,weekend,overnight,157,35.0625,123.1875
47,weekend,overnight,158,51.1875,138.0
48,weekend,overnight,159,192.3125,242.625
49,weekend,overnight,16,431.1875,439.9375
50,weekend,overnight,160,43.375,123.4375
51,weekend,overnight,162,397.3125,513.6875
52,weekend,overnight,164,771.1875,1514.6875
53,weekend,overnight,165,225.9375,294.125
54,weekend,overnight,167,2850.625,2834.875
55,weekend,overnight,168,113.375,38.0625
56,weekend,overnight,169,264.375,275.1875
57,weekend,overnight,17,226.125,273.5
58,weekend,overnight,173,83.6875,226.1875
59,weekend,overnight,175,107.8125,271.5
