,complex_id,Stop Name,Complex_id,cs_ibx_peak,cs_ibx_offpeak,cs_noibx_peak,cs_noibx_offpeak
0,614,59 ST-COLUMBUS CIRCLE,614c,0.0224812601121445,0.0138058128361527,0.0226490776866878,0.013906822376961
1,611,42 ST-PORT AUTHORITY BUS TERMINAL,611c,0.0254195334756749,0.0163408916464473,0.0256035653969537,0.0164657580607552
2,601,14 ST,601c,0.0242715164609495,0.0149465240617833,0.0243960606061113,0.0150190303651145
3,635,SOUTH FERRY,635c,0.0203503773124833,0.0127168138648591,0.0204540757961578,0.0127779483004563
4,620,BOROUGH HALL,620c,0.0213185497527743,0.0135280493969581,0.0213336953312715,0.0135479990214085
5,617,ATLANTIC AV-BARCLAYS CTR,617c,0.0220475996248013,0.0142038244364447,0.0220261831608807,0.0142192312919167
6,626,BOTANIC GARDEN,626c,0.0197585409872966,0.0127330754613986,0.01955779890373,0.012702112393104
7,604,161 ST-YANKEE STADIUM,604c,0.0174779833683174,0.0113982111710493,0.0176144621647825,0.0114753311304129
8,603,149 ST-GRAND CONCOURSE,603c,0.0170635185435353,0.0112238051329283,0.0172071291236174,0.0113105361592518
9,628,FULTON ST,628c,0.0239064658533836,0.0150639825199678,0.0240635677903178,0.0151667521479398
10,613,59 ST,613c,0.0226935457302428,0.0145367270221356,0.0228447647690771,0.0146248223951305
11,610,GRAND CENTRAL-42 ST,610c,0.0220908907715274,0.013558782452621,0.0222007485946222,0.0136114107089096
12,602,14 ST-UNION SQ,602c,0.0240855818015565,0.0150267674897051,0.0241754015263672,0.0150881529810639
13,619,BLEECKER ST,619c,0.024208422432087,0.0147155703965776,0.0243008708211721,0.0147722020402411
14,623,CANAL ST,623c,0.0231580627021712,0.0143219147714432,0.0232524912615712,0.0143882856461673
15,622,BROOKLYN BRIDGE-CITY HALL,622c,0.0214156521130398,0.0130912916363559,0.0215123529585041,0.0131568728419265
16,616,74 ST-BROADWAY,616c,0.0194443224182885,0.0125047023999074,0.0178810446348537,0.0119740848998013
17,606,COURT SQ,606c,0.0206136522444342,0.0128092433337893,0.0206390373898823,0.0128298368189002
18,605,168 ST,605c,0.0160925705777008,0.0106071024213084,0.0162163508341048,0.0107042074659126
19,167,W 4 ST-WASH SQ,167c,0.0242705111681838,0.0151320027008683,0.0243870083427588,0.0152093873081391
20,624,CHAMBERS ST,624c,0.0223043587725335,0.0139053229023188,0.0224183162046361,0.0139669371372493
21,636,JAY ST-METROTECH,636c,0.0221947252990271,0.0138559650207901,0.0222532561246028,0.0139017285039039
22,627,FRANKLIN AV,627c,0.0188763256752408,0.0115679134666785,0.0188362604304886,0.0116089521123416
23,621,BROADWAY JUNCTION,621c,0.018960205253356,0.0119804160616599,0.0182131503309152,0.0118445576492827
24,151,145 ST,151c,0.0178337561145911,0.0116085472846947,0.0179589345998394,0.0116822725177712
25,609,42 ST-BRYANT PK,609c,0.0235963884200524,0.0143927131324092,0.0237106637107887,0.0144547863139898
26,607,34 ST-HERALD SQ,607c,0.0242935100574152,0.0151739267256209,0.0244447291748743,0.0152635647714969
27,612,51 ST,612c,0.0220283327133093,0.0133143812653699,0.0221655642822587,0.0133818325726752
28,625,DELANCEY ST-ESSEX ST,625c,0.0222607385055858,0.0135610690946435,0.02230322594551,0.0135877124274582
29,608,4 AV-9 ST,608c,0.0196767174473875,0.012496828607426,0.0196402007386483,0.0124902251933218
30,629,LORIMER ST,629c,0.0192546544648291,0.0117098286991146,0.019126854394324,0.0116666057191436
31,618,14 ST,618c,0.022200994428583,0.0135891492216093,0.0222975427725546,0.0136404796665733
32,630,MYRTLE-WYCKOFF AVS,630c,0.0182130015776454,0.011366412142174,0.0174556554699965,0.0112835056395365
33,615,62 ST,615c,0.0164340036530297,0.0106985426882211,0.0149942809871896,0.010085811844503
34,461,QUEENSBORO PLAZA,461c,0.0189624639060872,0.0119593978306427,0.0188202232672646,0.0119464410604904
35,359,FLATBUSH AV-BROOKLYN COLLEGE,247,0.0177059115626503,0.0113495491792384,0.0152889156729456,0.010324174296227
36,X5,,X5,0.0178468801117832,0.0113331422590488,,
37,223,LEXINGTON AV/63 ST,B08,0.0242260301700192,0.0151565487740544,0.0243707433000876,0.015241635289122
38,42,PROSPECT PARK,D26,0.0203679979230243,0.0129906622236084,0.0201752632903016,0.0129611855349852
39,135,LIVONIA AV,L26,0.0187005897923198,0.0119495947375739,0.0170289990099389,0.0110598329019352
40,349,JUNIUS ST,254,0.0182761832936797,0.0117727188556219,0.0168759936259685,0.0110075587786158
41,X1,,X1,0.0167167113468736,0.011105778505103,,
42,35,59 ST,R41,0.0171800765519178,0.0113351937788905,0.0166189796708666,0.01100952595818
43,X16,,X16,0.0190068817669651,0.0121880310477597,,
44,293,VAN CORTLANDT PARK-242 ST,101,0.0123921672569656,0.0084884025851252,0.0124616575221007,0.0085411997345141
45,294,238 ST,103,0.0125879633592374,0.0085798150034015,0.0126596631589048,0.0086337543665364
46,295,231 ST,104,0.0128585474612318,0.0087046639339272,0.0129333411451522,0.0087601754402618
47,296,MARBLE HILL-225 ST,106,0.0131044818788265,0.0088166759023658,0.0131821292291646,0.0088736102722021
48,297,215 ST,107,0.0133978386357483,0.0089485005576894,0.0134789416541814,0.0090071244023496
49,298,207 ST,108,0.0136536267319581,0.0090618884129008,0.0137377884097385,0.0091219781841105
50,299,DYCKMAN ST,109,0.0139682851919252,0.0091994280360125,0.0140562674416248,0.0092613116817542
51,300,191 ST,110,0.0142727572159378,0.0093305160283352,0.0143644979385486,0.0093941257292917
52,301,181 ST,111,0.0146152759743578,0.0094756890533447,0.0147113170585313,0.0095412287880953
53,303,157 ST,113,0.0155175457099358,0.0098622575785167,0.0156230446615261,0.0099324569879805
54,304,145 ST,114,0.0159754356604103,0.01006058454556,0.0160854097518429,0.0101332243932572
55,305,137 ST-CITY COLLEGE,115,0.0162677842026907,0.0101848891666707,0.0163806872021704,0.0102590814367611
56,306,125 ST,116,0.0167023872534496,0.0103662548538609,0.0168197579739815,0.0104427438147109
57,307,116 ST-COLUMBIA UNIVERSITY,117,0.0172863275016796,0.010597378442509,0.0174103094353476,0.0106768532764116
58,308,CATHEDRAL PKWY (110 ST),118,0.0175923310620285,0.0107116013467602,0.0177201401735712,0.0107925761623108
59,309,103 ST,119,0.0179375406408858,0.0108386074050088,0.0180697326122288,0.0109212651021081
60,310,96 ST,120,0.0192886968546977,0.0121040568918191,0.019444985634556,0.0121837924011827
61,311,86 ST,121,0.0187711689669542,0.0111498278199805,0.0189111405664973,0.0112358671058232
62,312,79 ST,122,0.0191064654712565,0.0112782653786111,0.019247913543662,0.0113652835250703
63,313,72 ST,123,0.0204154887464547,0.0125351523630304,0.0205764255401377,0.0126148677878613
64,314,66 ST-LINCOLN CENTER,124,0.0197921733380934,0.011531476118759,0.0199368693648717,0.0116204090943808
65,316,50 ST,126,0.0204571121243356,0.0117632866397275,0.020605954081909,0.0118541249133928
66,318,34 ST-PENN STATION,128,0.0217677039147717,0.0130488007840505,0.0219142234024916,0.0131193959172345
67,319,28 ST,129,0.0205839455560953,0.0118016525359531,0.020719116114317,0.0118879040337722
68,320,23 ST,130,0.0205291322236399,0.0117723834200337,0.020659053000963,0.0118564820880152
69,321,18 ST,131,0.0204853305085789,0.0117468912021967,0.0206094448442071,0.0118286659705912
70,323,CHRISTOPHER ST-SHERIDAN SQ,133,0.0201721539439939,0.0116090653781591,0.0202867461363712,0.011686314146437
71,324,HOUSTON ST,134,0.019931052698636,0.0114810006419367,0.0200391977922753,0.0115543281450701
72,325,CANAL ST,135,0.0197723005184617,0.0113709385699264,0.0198740268378753,0.0114401284444312
73,326,FRANKLIN ST,136,0.0196865015929575,0.0113038016672508,0.0197839740255087,0.0113702636411413
74,327,CHAMBERS ST,137,0.021690840704366,0.0130336412021267,0.0217772645858246,0.0130690114963476
75,328,WTC CORTLANDT,138,0.0192620094025988,0.0111146371482393,0.0193520816234797,0.0111767637374166
76,329,RECTOR ST,139,0.0189639419283396,0.0109920623621684,0.0190522976443947,0.0110527104056291
77,416,WAKEFIELD-241 ST,201,0.0107878514265451,0.0078626552914373,0.0108500698405139,0.0079021487843847
78,417,NEREID AV,204,0.0116466074408093,0.0084725769891637,0.0117130170582413,0.0085189733652323
79,418,233 ST,205,0.0118535535664069,0.0085820060662728,0.0119223707059653,0.0086296283041143
80,419,225 ST,206,0.0120637262788836,0.0086920805167967,0.0121350106103654,0.0087409406769391
81,420,219 ST,207,0.0122360495333864,0.0087815453210377,0.0123093711986269,0.0088314140676653
82,421,GUN HILL RD,208,0.0124994768848045,0.0089169583870021,0.0125759405473133,0.008968359104942
83,422,BURKE AV,209,0.0127684284014753,0.0090535512626845,0.0128481392936052,0.0091065063117761
84,423,ALLERTON AV,210,0.0130200779366966,0.0091798617928279,0.0131028613574825,0.0092342612574567
85,424,PELHAM PKWY,211,0.0133884290702355,0.0093622014670662,0.0134757741731496,0.0094187005226184
86,425,BRONX PARK EAST,212,0.0137817716496359,0.0095536449512479,0.0138740793525041,0.0096123701977778
87,426,E 180 ST,213,0.0141727322138227,0.0097406694150308,0.0142700645641987,0.0098015903019525
88,427,WEST FARMS SQ-E TREMONT AV,214,0.0144379438732238,0.0098657398801164,0.0145386401764987,0.0099280955301986
89,428,174 ST,215,0.0147832067880537,0.0100264194401087,0.014888326986081,0.0100906240235656
90,429,FREEMAN ST,216,0.0152213118237492,0.0102268150353834,0.0153321330043352,0.0102933394319236
91,430,SIMPSON ST,217,0.0155677027961074,0.010382499878907,0.0156831015075916,0.0104508360363353
92,431,INTERVALE AV,218,0.0157685517939674,0.0104717259148769,0.0158866224465179,0.0105411005433188
93,432,PROSPECT AV,219,0.0160510095121458,0.0105959317096867,0.0161728543984919,0.0106667497385263
94,433,JACKSON AV,220,0.0164008079353506,0.0107477199092478,0.0165273650350271,0.0108203032173683
95,434,3 AV-149 ST,221,0.0169019385011748,0.0109613533004544,0.0170353361226296,0.0110364303802556
96,438,135 ST,224,0.0167608845256832,0.0107782179154202,0.0168895364330888,0.0108395182965918
97,439,125 ST,225,0.0170973411017059,0.0109257650864353,0.0172261065404724,0.0109868654891926
98,440,116 ST,226,0.0174114330867661,0.0110602966719222,0.0175405345434649,0.0111212663836755
99,441,CENTRAL PARK NORTH (110 ST),227,0.0175947114141217,0.0111345644578749,0.017724350385181,0.0111954881531537
100,333,WALL ST,230,0.0209769950790331,0.0125341086443751,0.0210212958307797,0.0125485384820276
101,334,CLARK ST,231,0.0201586693070245,0.0122536060301232,0.0201313894771934,0.012247953954731
